REF_DATE,GEO,Screened traffic,VALUE
Jan-19,"Total of eight largest airports, Canada",Total screened traffic,4412813
Jan-19,"Total of eight largest airports, Canada",Total passengers,4329693
Jan-19,"Total of eight largest airports, Canada",Domestic sector passengers,1814390
Jan-19,"Total of eight largest airports, Canada",Transborder sector passengers,1203255
Jan-19,"Total of eight largest airports, Canada",Other International sector passengers,1312048
Jan-19,"Total of eight largest airports, Canada",Non-passengers,83120
Jan-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,106232
Jan-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,102160
Jan-19,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,83069
Jan-19,"Halifax/Robert L Stanfield International, Nova Scotia",Transborder sector passengers,10764
Jan-19,"Halifax/Robert L Stanfield International, Nova Scotia",Other International sector passengers,8327
Jan-19,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,4072
Jan-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,691340
Jan-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,681340
Jan-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,193098
Jan-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,171438
Jan-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,316804
Jan-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,10000
Jan-19,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,206171
Jan-19,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,200802
Jan-19,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,132670
Jan-19,"Ottawa/Macdonald-Cartier International, Ontario",Transborder sector passengers,34823
Jan-19,"Ottawa/Macdonald-Cartier International, Ontario",Other International sector passengers,33309
Jan-19,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,5369
Jan-19,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,1608410
Jan-19,"Toronto/Lester B Pearson International, Ontario",Total passengers,1576260
Jan-19,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,444497
Jan-19,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,515393
Jan-19,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,616370
Jan-19,"Toronto/Lester B Pearson International, Ontario",Non-passengers,32150
Jan-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,179058
Jan-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,176389
Jan-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,127414
Jan-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,23739
Jan-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Other International sector passengers,25236
Jan-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,2669
Jan-19,"Calgary International, Alberta",Total screened traffic,499917
Jan-19,"Calgary International, Alberta",Total passengers,493249
Jan-19,"Calgary International, Alberta",Domestic sector passengers,287863
Jan-19,"Calgary International, Alberta",Transborder sector passengers,139444
Jan-19,"Calgary International, Alberta",Other International sector passengers,65942
Jan-19,"Calgary International, Alberta",Non-passengers,6668
Jan-19,"Edmonton International, Alberta",Total screened traffic,289016
Jan-19,"Edmonton International, Alberta",Total passengers,281580
Jan-19,"Edmonton International, Alberta",Domestic sector passengers,203517
Jan-19,"Edmonton International, Alberta",Transborder sector passengers,48871
Jan-19,"Edmonton International, Alberta",Other International sector passengers,29192
Jan-19,"Edmonton International, Alberta",Non-passengers,7436
Jan-19,"Vancouver International, British Columbia",Total screened traffic,832669
Jan-19,"Vancouver International, British Columbia",Total passengers,817913
Jan-19,"Vancouver International, British Columbia",Domestic sector passengers,342262
Jan-19,"Vancouver International, British Columbia",Transborder sector passengers,258783
Jan-19,"Vancouver International, British Columbia",Other International sector passengers,216868
Jan-19,"Vancouver International, British Columbia",Non-passengers,14756
Feb-19,"Total of eight largest airports, Canada",Total screened traffic,4161705
Feb-19,"Total of eight largest airports, Canada",Total passengers,4102158
Feb-19,"Total of eight largest airports, Canada",Domestic sector passengers,1706627
Feb-19,"Total of eight largest airports, Canada",Transborder sector passengers,1192819
Feb-19,"Total of eight largest airports, Canada",Other International sector passengers,1202712
Feb-19,"Total of eight largest airports, Canada",Non-passengers,59547
Feb-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total screened traffic,113150
Feb-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,109341
Feb-19,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,78720
Feb-19,"Halifax/Robert L Stanfield International, Nova Scotia",Transborder sector passengers,14306
