OccID,OccNo,AcID,SurvivableEnum_DisplayEng
158996,A24P0113,40168,Yes
158988,A24P0108,71697,Yes
158978,A24W0125,71690,Yes
158967,A24P0105,71705,Yes
158950,A24W0121,71670,Yes
158934,A24W0120,49774,Yes
158928,A24P0104,71658,Yes
158928,A24P0104,71658,Yes
158927,A24P0103,71677,Yes
158927,A24P0103,71677,Yes
158927,A24P0103,71677,Yes
158919,A24P0102,1487,Yes
158919,A24P0102,1487,Yes
158917,A24Q0120,40875,Yes
158916,A24Q0119,71651,Yes
158910,A24P0100,71649,Yes
158902,A24Q0118,71653,Yes
158901,A24Q0117,69636,Yes
158890,A24P0099,71628,Yes
158886,A24Q0111,71192,Yes
158879,A24W0118,71638,No
158877,A24P0097,3316,Yes
158877,A24P0097,3316,Yes
158877,A24P0097,3316,Yes
158876,A24W0117,71647,No
158873,A24P0095,63241,Yes
158872,A24W0116,58201,Yes
158870,A24P0094,71616,Yes
158870,A24P0094,71616,Yes
158870,A24P0094,71616,Yes
158866,A24C0091,50403,Yes
158855,A24P0093,69763,Yes
158854,A24W0114,71599,No
158834,A24Q0104,71586,No
158829,A24W0113,71583,Yes
158825,A24Q0103,71575,Yes
158822,A24P0091,27771,Yes
158816,A24P0090,71569,Yes
158810,A24P0089,45076,Yes
158799,A24A0054,71623,Yes
158798,A24P0088,71595,Yes
158792,A24Q0102,71551,Yes
158791,A24Q0101,40242,Yes
158786,A24P0086,24434,Yes
158786,A24P0086,24434,Yes
158768,A24P0085,71619,Yes
158756,A24W0103,65629,Yes
158753,A24W0102,71520,Yes
158749,A24P0083,66359,Yes
158748,A24P0082,71592,Yes
158744,A24P0081,71563,Yes
158743,A24P0080,71516,Yes
158742,A24W0101,71510,Yes
158740,A24P0079,71506,No
158739,A24Q0089,64925,Yes
158724,A24W0099,71503,Yes
158724,A24W0099,71503,Yes
158715,A24W0098,71491,Yes
158701,A24P0076,71604,Yes
158689,A24Q0087,71479,Yes
158689,A24Q0087,69823,Yes
158687,A24Q0086,71478,Yes
158678,A24P0074,71483,Yes
158678,A24P0074,71483,Yes
158678,A24P0074,71483,Yes
158678,A24P0074,71483,Yes
158678,A24P0074,71483,Yes
158678,A24P0074,71483,Yes
158678,A24P0074,71483,Yes
158678,A24P0074,71483,Yes
158678,A24P0074,71483,Yes
158678,A24P0074,71483,Yes
158672,A24W0091,70778,Yes
