YearMonth,occurrences,dollar_exchange,births,passenger_traffic
1995-01,71,1.41289524,"30,006",
1995-02,67,1.400515,"29,076",
1995-03,76,1.40736522,"33,448",
1995-04,64,1.37585789,"31,765",
1995-05,76,1.36084091,"34,593",
1995-06,101,1.37720455,"33,055",
1995-07,129,1.360865,"33,339",
1995-08,104,1.35492727,"32,814",
1995-09,75,1.350735,"32,608",
1995-10,80,1.34549524,"30,807",
1995-11,57,1.35317619,"28,770",
1995-12,66,1.36946842,"28,404",
1996-01,61,1.36654546,"29,435",
1996-02,82,1.37550001,"28,843",
1996-03,67,1.3653381,"31,816",
1996-04,54,1.35909524,"31,834",
1996-05,86,1.36904545,"33,150",
1996-06,93,1.365495,"31,368",
1996-07,115,1.36934545,"32,493",
1996-08,124,1.37182857,"31,334",
1996-09,101,1.369245,"30,928",
1996-10,75,1.35063636,"29,944",
1996-11,69,1.33837,"27,384",
1996-12,80,1.361815,"28,304",
1997-01,72,1.34861364,"28,473",
1997-02,73,1.3552,"26,621",
1997-03,68,1.371835,"30,096",
1997-04,77,1.39398182,"30,737",
1997-05,84,1.38047143,"31,834",
1997-06,98,1.38398095,"30,077",
1997-07,119,1.37710455,"31,114",
1997-08,103,1.39045,"29,321",
1997-09,77,1.38690952,"29,322",
1997-10,99,1.38667727,"28,336",
1997-11,70,1.41325263,"26,334",
1997-12,53,1.4267,"27,278",
1998-01,92,1.44080952,"27,246",
1998-02,68,1.43397,"26,484",
1998-03,83,1.41627727,"29,821",
1998-04,79,1.42980952,"30,314",
1998-05,107,1.444995,"30,877",
1998-06,114,1.46530455,"29,399",
1998-07,136,1.48762727,"30,329",
1998-08,93,1.53529,"28,998",
1998-09,77,1.52134762,"29,703",
1998-10,93,1.54504286,"27,940",
1998-11,60,1.53937,"25,461",
1998-12,85,1.54221905,"26,394",
1999-01,75,1.519205,"26,996",
1999-02,57,1.497275,"25,691",
1999-03,82,1.5175,"29,330",
1999-04,76,1.48737619,"28,592",
1999-05,101,1.462045,"30,051",
1999-06,94,1.46909545,"29,387",
1999-07,101,1.48878095,"30,227",
1999-08,119,1.49234762,"28,444",
1999-09,82,1.47682381,"29,254",
1999-10,88,1.477305,"27,257",
1999-11,61,1.46745238,"25,708",
1999-12,55,1.47325238,"26,884",
2000-01,72,1.44893,"27,288",
2000-02,70,1.45106667,"26,245",
2000-03,77,1.46058261,"29,277",
2000-04,47,1.46841579,"28,257",
2000-05,90,1.49546818,"29,881",
2000-06,94,1.47684091,"28,820",
2000-07,119,1.477855,"28,606",
2000-08,101,1.48245,"27,802",
2000-09,96,1.486165,"26,954",
2000-10,73,1.51229524,"25,899",
2000-11,74,1.54222381,"24,968",
2000-12,85,1.52243684,"24,599",
2001-01,80,1.50315455,"26,823",
2001-02,85,1.521815,"25,447",
2001-03,86,1.5585,"29,261",
2001-04,79,1.557485,"28,894",
2001-05,99,1.54145455,"29,970",
2001-06,112,1.52439524,"28,638",
2001-07,123,1.53036667,"29,169",
2001-08,132,1.54015909,"28,874",
2001-09,97,1.56767895,"28,327",
2001-10,72,1.57117727,"27,713",
2001-11,62,1.59242381,"25,892",
2001-12,63,1.57746842,"25,607",
2002-01,63,1.60028636,"26,853",
2002-02,75,1.595845,"24,814",
2002-03,86,1.587025,"27,901",
2002-04,79,1.58135909,"27,739",
2002-05,103,1.54965455,"28,892",
2002-06,113,1.531685,"27,350",
2002-07,92,1.54593636,"29,099",
2002-08,116,1.5679381,"28,798",
2002-09,91,1.575845,"28,997",
2002-10,79,1.57781364,"27,968",
2002-11,87,1.57141,"25,921",
2002-12,73,1.559315,"25,562",
2003-01,81,1.54101818,"26,360",
2003-02,88,1.51235,"24,980",
2003-03,80,1.47590952,"28,198",
2003-04,65,1.45848095,"27,932",
2003-05,89,1.38449524,"29,505",
2003-06,121,1.35227143,"28,320",
2003-07,127,1.38151818,"30,400",
2003-08,113,1.39565,"29,093",
2003-09,88,1.36322381,"29,662",
