word,frequency
aircraft,50648
pilot,42471
land,24824
flight,14708
engin,14051
runway,13115
left,10984
gear,9962
right,9718
damag,9167
power,7438
helicopt,7340
fuel,7320
ground,6776
control,6759
feet,6736
struck,6620
takeoff,6447
wing,6440
nose,6261
passeng,5927
caus,5891
turn,5338
lake,5249
approach,5247
oper,5108
time,4907
report,4867
attempt,4751
injuri,4748
wind,4736
airport,4467
area,4432
substanti,4425
water,4423
main,4290
approxim,4278
tree,4113
accid,3894
lost,3640
two,3610
stop,3594
one,3594
condit,3592
cessna,3288
roll,3276
sustain,3245
rotor,3245
board,3196
indic,3195
propel,3154
field,3096
injur,3078
forc,3070
came,3067
result,3028
fli,2942
impact,2934
side,2928
low,2913
float,2895
depart,2892
rest,2881
occup,2831
tail,2830
found,2809
surfac,2789
contact,2715
fail,2709
posit,2708
wheel,2706
privat,2695
altitud,2691
climb,2672
weather,2671
hour,2670
crash,2651
would,2644
follow,2610
could,2608
end,2599
tank,2561
use,2560
degre,2542
locat,2490
fire,2481
mile,2463
conduct,2406
snow,2386
back,2353
howev,2352
air,2338
touch,2327
level,2321
made,2311
return,2276
strip,2272
direct,2268
collaps,2265
touchdown,2226
student,2208
appli,2196
speed,2193
line,2192
find,2187
stall,2184
examin,2179
began,2139
run,2119
complet,2117
unabl,2112
visual,2103
light,2093
ac,2092
failur,2081
continu,2073
crew,2044
system,2042
final,2037
normal,2032
high,2012
local,2002
sever,1999
initi,1968
determin,1954
due,1943
prior,1905
loss,1882
reveal,1873
near,1861
full,1849
short,1834
flap,1802
ice,1775
clear,1774
receiv,1769
perform,1757
knot,1746
carri,1743
vfr,1742
onto,1705
ft,1699
inspect,1676
investig,1668
ultralight,1667
descend,1662
three,1657
emerg,1650
remain,1649
attitud,1642
check,1638
first,1638
site,1637
blade,1625
minor,1619
instructor,1618
select,1592
reduc,1583
registr,1575
minut,1569
brake,1568
start,1558
hard,1558
take,1553
without,1551
taxi,1542
point,1536
took,1535
maintain,1527
observ,1506
requir,1496
relat,1480
circuit,1479
equip,1475
lower,1464
day,1455
second,1452
train,1425
forward,1416
enter,1410
shortli,1406
road,1394
becam,1382
river,1367
servic,1365
load,1357
decid,1353
allow,1350
visibl,1348
grass,1335
crosswind,1333
bounc,1319
throttl,1314
terrain,1313
toward,1310
later,1291
seat,1279
encount,1274
abl,1253
elt,1239
gust,1234
airborn,1233
drop,1222
north,1217
descent,1213
tip,1213
airspe,1203
lift,1182
limit,1177
edg,1172
exit,1169
invert,1169
occurr,1160
activ,1159
wreckag,1155
inform,1151
immedi,1150
flown,1144
piper,1143
rpm,1134
test,1131
rescu,1129
retract,1129
also,1124
rule,1120
head,1114
number,1106
weight,1105
pa,1098
departur,1090
veer,1088
increas,1087
fuselag,1087
set,1073
uninjur,1073
nm,1071
extend,1063
mainten,1056
base,1054
fatal,1053
occur,1051
search,1051
skid,1048
ontario,1047
transport,1042
ditch,1038
rout,1035
airstrip,1033
door,1028
state,1018
may,1013
pass,1006
make,1001
come,995
bc,995
close,995
hit,993
agl,990
suffer,986
shore,986
move,986
rudder,985
broke,979
mountain,976
regist,963
compani,961
small,960
leg,955
flew,955
pitch,952
south,951
cloud,942
avail,941
prevent,934
reach,931
plan,925
oil,925
strike,915
bank,914
destroy,913
temperatur,909
open,902
possibl,901
rate,897
wire,896
experienc,894
long,891
around,884
remov,881
avoid,881
although,881
drift,881
nil,877
centr,875
subsequ,872
arriv,868
wear,864
destin,863
tsb,858
evid,857
soft,853
front,850
west,850
along,850
pressur,845
steep,845
bay,844
anoth,843
pull,841
attach,840
instal,840
foot,838
ski,837
recov,833
park,828
notic,823
instrument,823
four,821
ran,820
last,804
collid,804
type,796
rear,786
go,781
cabl,781
ab,778
pump,776
taken,773
cover,771
assembl,769
within,767
seriou,766
overturn,765
east,761
lock,761
elev,756
threshold,755
asl,754
distanc,752
night,748
canada,748
show,747
carburettor,747
procedur,739
rough,736
signific,736
spray,735
rotat,734
warn,733
sank,730
problem,726
elect,726
section,720
cruis,720
evacu,717
part,713
mechan,711
note,710
wit,709
aviat,708
broken,707
manufactur,707
separ,703
heard,702
effect,700
bell,698
establish,697
top,697
radio,697
exhaust,692
strong,686
accord,684
correct,684
suffici,683
practic,683
owner,680
provid,679
advis,676
switch,675
appear,672
mph,663
releas,662
heavili,660
heat,660
sinc,660
har,659
inch,658
reason,657
vertic,656
shoulder,653
flare,652
downwind,650
safeti,646
rwi,643
qc,641
nosewheel,640
slid,640
difficulti,639
pick,638
flip,634
tower,633
record,630
strut,629
lp,627
autorot,627
partial,627
suddenli,625
shut,621
cross,621
valv,619
lead,613
refuel,610
upon,609
height,608
maximum,606
airplan,604
escap,602
settl,601
five,600
sole,596
island,596
collect,596
quebec,594
manual,592
aft,588
prepar,587
dug,586
ahead,586
still,583
intend,583
like,583
path,582
fenc,582
nosedown,579
cabin,577
log,577
realiz,571
compon,567
solo,566
estim,566
includ,566
regain,564
yaw,563
canadian,562
malfunct,562
insuffici,561
farm,561
call,560
tri,559
fatigu,559
becom,558
manoeuvr,556
cockpit,554
aileron,551
electr,550
see,550
selector,550
away,550
previou,549
place,549
touchandgo,546
miss,544
lose,543
bolt,543
stabil,542
success,540
floatequip,539
en,539
went,539
aerodrom,538
safe,538
extens,537
chang,535
decreas,533
abort,533
repair,532
experi,532
slow,531
well,531
nearbi,528
boom,528
overshoot,526
refer,526
applic,525
signal,523
person,523
recoveri,522
heavi,518
hospit,514
liftoff,513
valley,512
commenc,511
structur,510
probabl,508
camp,506
fog,505
gusti,505
st,502
crack,501
assist,499
turbul,497
order,495
confirm,495
mount,493
vibrat,492
addit,491
serious,490
frozen,490
larg,489
issu,487
nautic,486
upright,486
action,486
intern,484
total,483
third,482
respond,482
rain,482
highway,482
cowl,482
beyond,482
overload,476
enrout,475
amateurbuilt,475
rapidli,474
recommend,474
suitabl,471
adjac,471
consist,470
request,468
support,464
hover,462
deterior,462
unsuccess,460
instruct,460
de,459
gallon,458
drive,458
sea,457
rais,456
cylind,454
contain,453
rise,451
precautionari,449
gravel,448
work,446
standard,446
taxiway,445
cut,444
medic,444
angl,441
pound,440
contribut,439
serial,439
felt,438
ceil,438
rock,438
deg,437
transmitt,437
laboratori,436
hand,435
replac,434
bear,433
restart,432
acceler,432
slope,432
saw,431
columbia,429
personnel,428
contamin,425
airfram,423
produc,422
proceed,422
new,422
british,422
vicin,422
less,420
post,419
recent,418
fit,418
factor,417
straight,416
trip,416
belt,415
next,414
appar,412
hydraul,410
slightli,410
fact,408
fort,408
exist,408
caught,408
lycom,407
shorelin,407
lack,407
unit,406
accumul,404
function,404
excess,403
ltd,403
lac,402
captain,402
inadvert,402
carburetor,401
shaft,401
across,401
believ,401
per,400
fulli,400
daylight,399
goaround,398
travel,397
regul,396
develop,395
get,395
obtain,394
sound,393
fractur,393
secur,391
bent,389
dhc,388
analysi,388
author,387
snowcov,386
snowbank,385
boat,385
mark,385
consid,382
licenc,382
mb,382
celsiu,382
brief,381
spin,381
loop,381
belli,381
track,380
commun,379
portion,374
drain,374
certif,373
swung,372
held,372
plane,372
pleasur,371
higher,370
torn,370
design,369
conclus,369
hill,369
enough,368
rod,365
own,364
citi,363
six,363
sk,361
ridg,359
ad,358
either,358
burn,356
situat,356
assess,354
poor,354
leak,354
collis,354
advanc,354
wood,353
continent,353
mixtur,349
la,348
clearanc,348
fall,347
narrow,347
shear,346
cargo,346
kt,345
swerv,342
lever,342
radar,341
fell,340
alberta,340
behind,340
scene,339
pedal,339
built,338
horn,338
hr,338
onboard,337
reportedli,337
combin,336
forecast,336
awar,334
incid,334
morn,334
drag,334
neither,334
sling,333
handl,333
actuat,332
seaplan,332
ifr,332
seen,331
member,331
gaug,330
littl,330
amphibi,329
engag,329
circl,328
calm,327
intent,327
wet,327
beech,325
hous,325
dock,325
arm,324
half,323
way,323
blow,323
even,323
tow,322
therefor,321
upper,321
hole,320
turbin,319
attend,319
undetermin,319
northwest,319
horizont,318
bush,318
beaver,317
hold,315
sign,315
facil,315
transmiss,314
fss,313
aerial,313
declar,312
vancouv,311
sink,311
suppli,309
amount,309
idl,308
divert,307
trim,307
deep,306
detect,306
origin,305
identifi,305
inc,305
empti,304
rollout,304
reject,304
dispatch,304
quickli,303
movement,303
loos,302
gener,302
traffic,301
overran,299
flow,299
known,298
overhaul,296
manag,296
region,296
difficult,293
none,292
besid,292
model,292
cours,290
familiar,289
submerg,289
tube,288
machin,287
past,286
ii,286
length,286
uncontrol,286
period,286
connect,285
charter,285
push,285
creek,284
cyclic,284
rapid,282
execut,282
port,280
tire,279
free,279
quantiti,277
cap,277
expect,277
restrict,276
properli,276
calcul,276
permit,275
loud,274
egress,273
sudden,273
almost,273
swing,273
obstacl,272
good,272
smoke,272
year,272
glide,271
approv,269
dual,269
amateur,268
discov,268
station,268
hangar,268
break,268
defect,267
rel,266
demonstr,266
techniqu,266
forest,264
deploy,264
graviti,264
spot,264
magnet,263
torqu,263
exceed,263
shower,262
ramp,262
input,262
groundloop,262
event,262
stage,260
given,259
suspect,259
ferri,258
adequ,258
filter,258
offic,257
file,256
earlier,256
vehicl,256
plug,255
quit,255
outsid,255
pad,254
affect,254
dark,254
face,253
shallow,250
downdraft,250
practis,250
bottom,249
southwest,248
us,248
illumin,248
despit,247
nois,246
respons,246
technic,245
pole,245
starvat,244
suggest,243
construct,242
minimum,241
consider,241
valid,240
border,240
surround,239
adjust,239
bang,239
manitoba,239
wingtip,238
home,238
materi,237
windshield,237
toronto,236
red,236
block,236
anomali,236
stand,236
fish,234
dive,233
rather,233
flame,233
gain,232
compart,231
overcast,231
ensur,231
revers,230
similar,230
case,230
obstruct,230
month,230
glider,230
princ,229
link,228
build,228
look,228
atc,227
postimpact,226
rotax,226
via,226
pdt,226
balanc,225
magneto,225
leav,224
trail,224
data,224
sar,224
put,223
edmonton,222
simul,222
peopl,222
sight,221
truck,221
sky,220
singl,218
eventu,217
commerci,217
pacif,216
consum,216
airworthi,216
extinguish,216
involv,215
frequenc,215
glassi,215
present,215
late,214
beach,214
inflight,214
confin,214
moder,214
batteri,213
northeast,213
tailwind,213
conclud,212
friend,212
sequenc,212
panel,212
slight,211
capabl,211
car,211
maneuv,210
purpos,210
current,209
eight,209
wait,209
associ,209
deceler,209
postcrash,209
juli,209
crosscountri,209
preimpact,208
rang,208
pin,208
club,208
format,208
life,207
progress,207
seri,207
sampl,206
robinson,205
improv,205
outboard,205
green,205
variabl,205
bucket,204
altern,204
step,204
layer,204
winnipeg,203
fill,203
walk,203
instead,201
flat,201
cartwheel,201
longer,201
opposit,201
hook,201
specif,201
thu,201
arrest,201
column,200
coordin,200
unharm,200
metal,200
worn,199
spar,199
copilot,199
misjudg,199
margin,199
purchas,199
bend,199
gross,198
hydro,198
keep,197
characterist,197
helmet,196
abruptli,195
delay,195
saskatchewan,195
dri,194
nut,194
climbout,194
piec,193
concern,193
carb,193
differ,192
embank,191
special,191
survey,191
twice,190
whiteout,190
intl,190
moment,190
southeast,190
steer,189
insid,189
porpois,189
slowli,189
wide,189
stick,189
tall,188
far,188
jam,188
describ,187
tc,187
spun,186
calgari,186
termin,186
exercis,185
box,185
actual,185
center,185
preflight,185
creat,185
altimet,185
rcmp,184
risk,184
skin,184
seal,184
surviv,184
parallel,184
inlet,184
pitt,184
sun,183
form,183
notifi,183
grand,183
ottawa,182
compressor,182
licens,181
june,181
qualifi,181
cycl,180
wave,180
decay,179
transmit,179
unev,179
floatplan,179
motor,179
detach,178
runup,178
fold,178
steepli,177
certifi,176
skiequip,176
die,176
dirt,175
lodg,175
directli,175
gearbox,175
baggag,175
airfield,175
bodi,174
ignit,174
bracket,174
subject,174
remot,174
onehalf,174
navig,173
cold,173
righthand,173
sharpli,172
prescrib,172
john,172
ga,172
meadow,171
review,170
read,170
parachut,169
previous,169
monitor,169
ntsb,169
spring,169
victoria,168
configur,168
begin,168
necessari,167
schedul,167
coupl,167
must,166
decis,166
drum,165
ensu,165
help,165
led,165
reduct,165
consequ,165
bird,165
mi,163
havilland,163
violent,163
momentarili,163
balloon,163
eastern,162
bar,162
seven,162
mayday,162
sent,162
devic,162
shutdown,161
presenc,161
extrem,161
window,161
discrep,161
crop,161
slide,160
zero,160
disappear,160
harbour,160
fast,160
abnorm,160
thereaft,160
edt,160
prematur,159
attent,159
piston,159
municip,158
sightse,158
except,158
axl,158
prop,157
modif,157
sourc,157
debri,157
quarter,156
drill,156
telephon,156
min,156
nearli,155
mast,155
dew,155
sn,155
undercarriag,155
assum,155
plough,154
lap,154
advers,154
georg,154
spiral,153
auxiliari,153
thought,153
much,153
sideway,153
challeng,152
endors,151
august,151
spark,151
noseup,151
least,150
zone,150
give,150
sand,150
stress,150
restraint,149
extent,149
screw,149
polic,148
aeroplan,148
firewal,148
misfir,148
lubric,148
specifi,148
zenair,148
recreat,147
septemb,147
brought,147
disconnect,147
freez,147
obscur,147
seatbelt,146
unsuit,146
branch,146
lone,145
forceland,145
phase,145
defici,145
degrad,145
unknown,145
satellit,145
respect,144
conduc,144
bulletin,144
resid,144
got,144
airway,143
compress,143
outer,143
guid,143
tailwheel,142
whether,142
thunder,141
ineffect,141
done,140
crankshaft,139
incur,139
beacon,139
airpark,139
winter,138
transit,138
boundari,138
major,138
boe,138
fin,137
shift,137
ask,137
pilotown,137
fault,137
disassembl,137
intact,137
command,137
springbank,137
pave,137
chose,137
cell,137
orient,136
marker,136
