word,frequency
gear,6506
land,5993
aircraft,4010
pilot,2799
nose,1919
runway,1699
right,1151
main,1150
collaps,1150
left,1065
damag,1028
flight,854
retract,742
caus,629
approach,617
propel,587
extend,573
posit,560
engin,539
indic,534
fail,515
wheel,504
lock,497
select,497
touchdown,461
light,445
airport,440
lower,420
report,414
crew,393
roll,388
stop,385
oper,380
system,363
touch,360
came,359
wing,354
injuri,352
substanti,351
normal,345
ground,328
emerg,328
power,309
result,307
rest,299
control,297
passeng,294
circuit,294
flap,292
failur,292
attempt,291
leg,280
complet,268
takeoff,266
struck,261
time,257
hard,251
final,248
check,247
side,247
follow,247
cessna,244
reveal,242
sustain,236
found,233
two,230
could,229
door,229
bounc,227
warn,226
lake,225
examin,224
prior,221
return,219
hydraul,218
injur,218
bolt,215
find,214
contact,213
inspect,213
feet,212
surfac,210
mainten,207
conduct,205
extens,205
piper,205
student,202
pa,201
determin,198
use,192
privat,189
howev,185
one,184
condit,183
area,181
board,180
slid,180
turn,178
carri,176
made,175
strip,175
approxim,174
horn,174
belli,173
assembl,172
snow,172
wind,170
short,170
green,167
servic,161
actuat,161
air,160
overload,160
remain,156
due,155
three,153
confirm,152
end,152
onto,152
occup,151
fuselag,150
lever,150
without,150
prevent,149
field,148
allow,148
depart,148
investig,147
ac,146
attach,146
local,145
fulli,144
registr,143
strut,142
would,142
sever,140
grass,140
fuel,138
tower,138
fli,138
appli,137
electr,137
relat,136
continu,133
accid,133
visual,133
hour,131
first,128
link,128
tip,126
instructor,125
perform,124
test,124
handl,123
taxi,123
back,123
manual,121
mechan,120
decid,119
second,118
pressur,118
move,118
initi,118
nosewheel,116
ski,115
load,115
illumin,114
inadvert,112
train,111
selector,111
full,110
broke,110
high,109
speed,109
part,108
ontario,107
crosswind,107
observ,106
receiv,106
beech,103
skid,103
drag,103
exit,103
problem,102
rwi,102
partial,102
degre,101
activ,101
fatigu,100
close,100
procedur,99
appear,99
nil,99
flare,97
forc,97
compani,96
unabl,95
began,95
uninjur,95
point,94
also,94
remov,94
ice,93
requir,92
instal,91
water,91
sound,91
soft,90
rod,90
crack,90
subsequ,90
low,89
notic,89
settl,89
reduc,89
veer,88
knot,87
motor,87
line,86
come,86
vfr,85
lost,85
cowl,85
threshold,85
upon,85
inform,84
touchandgo,84
shortli,84
forward,84
bent,83
pump,83
broken,83
run,82
rais,82
laboratori,82
fire,82
show,82
occurr,81
mount,80
clear,80
breaker,79
drop,79
pull,79
direct,78
switch,78
success,78
unsaf,77
advis,77
occur,77
rollout,76
go,76
cycl,76
limit,75
brake,74
jam,74
rough,74
still,74
lp,73
bay,73
start,72
heard,72
stall,72
locat,72
support,71
weight,71
unsuccess,70
bracket,70
hand,70
flown,70
state,70
equip,70
repair,70
airstrip,69
manufactur,69
intern,69
open,68
immedi,68
reason,68
base,67
regist,67
place,67
separ,67
airplan,66
throttl,66
elect,66
type,66
near,66
possibl,66
experienc,66
pin,65
ft,65
note,65
tri,64
heavili,64
structur,63
personnel,62
lift,62
divert,61
becam,61
centr,60
number,60
weather,60
may,60
previou,59
malfunct,59
anoth,59
aviat,59
brace,59
downlock,58
excess,57
fluid,56
attitud,56
arriv,55
maintain,55
flew,55
checklist,55
evacu,55
fractur,54
wear,54
porpois,54
captain,54
work,53
avail,53
function,53
st,53
front,53
downwind,53
safe,53
took,52
third,52
tsb,52
replac,52
strike,52
prepar,51
ab,51
rule,51
tire,51
practic,51
frozen,51
drift,51
preland,51
downandlock,51
minor,51
inch,50
float,50
safeti,50
long,50
suffici,50
sinc,50
slow,50
forgot,50
well,50
shut,50
airspe,49
hit,49
radio,49
make,49
loss,49
request,49
around,49
releas,49
shear,48
mile,48
hole,48
impact,48
obtain,48
dug,47
tube,47
weld,47
edg,47
tail,47
mb,47
taxiway,47
set,46
minut,46
abl,46
take,46
red,46
overshoot,46
airborn,46
instead,46
swung,46
north,45
night,45
get,45
issu,45
declar,45
establish,45
skin,44
climb,44
bc,44
analysi,43
solo,43
upper,43
recycl,43
provid,42
instrument,42
transport,42
difficulti,42
swerv,42
altern,41
miss,41
addit,41
altitud,41
day,40
increas,40
toronto,40
instruct,40
seat,40
departur,40
secur,40
encount,40
sole,40
tow,40
went,40
compon,40
bend,40
design,39
correct,39
felt,39
simul,39
accord,39
recov,39
pass,39
axl,39
although,39
center,39
destin,39
oleo,38
leak,38
fold,38
intend,38
wheelsup,38
blade,38
visibl,38
river,37
five,37
amphibi,37
conclus,37
microswitch,37
bear,37
amateurbuilt,36
cover,36
spring,36
properli,36
uplock,36
valv,36
jack,36
evid,36
rate,36
own,36
cabl,36
sank,35
probabl,35
cockpit,35
rudder,35
call,35
hous,35
sk,35
winnipeg,35
level,35
nut,35
site,35
pack,35
loop,35
includ,35
canada,35
recoveri,35
ultralight,35
