word,frequency
aircraft,43862
flight,42013
crew,32486
land,25072
engin,18379
oper,17745
runway,12920
air,12706
return,11999
mainten,10637
feet,10502
control,10085
gear,10036
without,9818
emerg,9528
servic,9151
approach,8546
declar,8485
airport,7988
canada,7805
incid,7540
fl,7181
indic,7140
intl,7100
conduct,6548
pilot,6540
boe,6333
de,6198
replac,6093
request,5784
system,5668
climb,5600
separ,5433
found,5379
left,5192
report,5153
inspect,5072
clear,4922
light,4842
passeng,4781
right,4777
receiv,4757
smoke,4720
nm,4701
oil,4653
pressur,4559
fire,4535
vancouv,4533
toronto,4437
depart,4365
continu,4352
flap,4204
le,4197
en,4154
takeoff,4151
mile,4139
fuel,4101
approxim,3977
cabin,3918
intern,3867
registr,3866
aca,3832
atc,3820
number,3761
rout,3706
advis,3646
shut,3613
requir,3606
due,3541
hydraul,3535
arff,3472
descent,3435
complet,3326
dhc,3311
board,3273
airbu,3257
warn,3253
turn,3243
pan,3209
calgari,3189
observ,3166
follow,3157
traffic,3110
departur,3037
unev,3019
la,3018
damag,3014
power,2987
carri,2944
two,2887
cyyz,2882
cruis,2870
time,2865
taxi,2834
airlin,2825
altitud,2801
problem,2713
clearanc,2688
descend,2683
loss,2680
determin,2679
posit,2674
level,2673
ab,2669
check,2663
divert,2632
later,2599
safe,2594
nose,2472
fail,2437
back,2429
one,2421
initi,2403
bc,2394
member,2368
minut,2357
qc,2313
checklist,2306
attend,2305
arriv,2284
ground,2268
fault,2265
instruct,2261
procedur,2257
jza,2251
main,2249
perform,2222
standbi,2217
normal,2206
compani,2204
notic,2203
tower,2195
gate,2189
illumin,2189
select,2184
final,2179
caus,2167
er,2141
reduc,2135
unit,2119
subsequ,2103
line,2101
pass,2085
area,2073
stand,2065
issu,2061
jazz,2039
brake,2036
cyul,2012
stop,2001
occur,1993
vertic,1991
enrout,1953
leak,1936
injuri,1923
low,1864
helicopt,1857
messag,1830
personnel,1806
north,1806
howev,1801
winnipeg,1794
ifr,1761
tca,1751
ac,1750
captain,1749
qrh,1747
shortli,1745
instrument,1736
visual,1731
door,1728
test,1718
aviat,1717
condit,1710
result,1699
cyyc,1696
contact,1692
reveal,1681
unabl,1669
edmonton,1664
et,1653
destin,1652
beech,1634
cyvr,1613
remain,1607
call,1601
failur,1579
degre,1575
inform,1568
elect,1563
note,1560
westjet,1554
cessna,1553
trudeau,1549
hold,1548
wja,1540
experienc,1527
radar,1512
action,1498
pearson,1488
electr,1479
would,1472
investig,1463
rule,1448
bay,1442
valv,1439
also,1437
chang,1409
smell,1400
roll,1395
du,1388
direct,1373
gander,1352
switch,1349
began,1340
head,1337
short,1332
use,1331
could,1318
remov,1312
wheel,1305
taxiway,1303
shutdown,1302
ft,1296
start,1283
run,1280
duti,1279
first,1273
becam,1273
made,1272
lake,1269
vector,1252
pump,1249
second,1238
ra,1235
confirm,1233
dc,1229
montreal,1220
cockpit,1217
lock,1209
elliott,1192
havilland,1191
sever,1177
prior,1164
manual,1158
canadian,1158
temperatur,1143
cargo,1133
extend,1131
turbul,1130
maintain,1129
dash,1123
asl,1119
john,1114
region,1093
releas,1092
nautic,1091
torontolbpia,1090
circuit,1089
st,1086
embraer,1083
ete,1079
mb,1079
immedi,1076
high,1075
acc,1074
speed,1072
cross,1071
vibrat,1064
torontolest,1064
event,1061
miss,1055
il,1054
apu,1053
conflict,1050
upon,1050
inbound,1048
termin,1043
activ,1038
new,1034
halifax,1033
retract,1029
proceed,1024
came,1020
detect,1007
within,1002
caution,1001
bombardi,997
tow,994
examin,991
rwi,991
south,988
three,986
per,983
occurr,974
precaut,967
decid,966
took,965
extens,961
pratt,959
fli,958
gener,958
come,958
west,947
ltd,945
airspac,944
lbpia,939
fluid,929
space,927
ontario,911
take,907
tire,904
limit,899
ottawa,899
pa,897
hand,897
wing,893
quantiti,886
accord,883
une,883
medic,881
burn,881
vehicl,874
track,869
canadair,868
east,868
propel,863
vfr,863
inc,863
cfr,862
plan,859
local,855
lower,854
centr,852
equip,844
whitney,840
un,837
airway,837
transport,836
side,833
lp,833
encount,829
sign,824
appear,810
actuat,808
attempt,807
montrealpierr,804
knot,804
cyeg,802
enter,799
load,796
precautionari,794
vicin,793
yellowknif,793
close,793
faulti,787
minimum,784
exit,783
abl,778
repair,777
difficulti,773
given,770
ill,768
increas,763
wire,760
clb,759
prioriti,759
fort,759
weather,758
base,756
jet,755
airplan,754
nw,746
lost,745
extinguish,744
green,743
identifi,741
cywg,740
altern,739
alert,738
provid,735
drop,734
train,730
bleed,723
place,719
crj,712
deplan,710
reach,709
utc,708
advisori,708
respond,703
breaker,701
suspect,698
decreas,696
anoth,694
find,693
offic,692
pist,689
hour,682
eica,681
que,680
point,680
san,679
forward,677
schedul,677
success,669
divers,665
torqu,664
handl,663
ecam,663
secur,663
blade,662
kelowna,662
sensor,659
london,657
heard,650
unsaf,647
ramp,646
citi,645
appropri,642
via,638
reset,635
thrust,632
execut,632
edg,632
horizont,632
au,629
safeti,629
behind,628
fan,626
situat,626
monitor,623
victoria,623
seal,623
tank,621
sur,621
standard,620
allow,618
estim,617
nt,617
dorval,615
onto,612
trim,612
assembl,611
nl,607
data,606
read,600
aft,600
regist,598
panel,594
water,592
filter,590
dispatch,587
open,587
etait,587
odour,584
crack,584
set,581
sk,581
near,578
lappareil,576
fluctuat,574
refer,573
galley,573
discov,571
amm,570
sourc,570
abnorm,570
notifi,568
heat,567
quebec,567
moncton,565
reject,562
moteur,560
vol,559
sector,557
evid,555
met,555
slat,552
function,549
cyqb,546
idl,545
ferri,544
struck,544
establish,541
thunder,541
steer,537
display,537
possibl,535
rescu,535
cl,534
show,531
locat,530
frequenc,530
visibl,529
at,528
ice,527
compressor,526
intersect,526
correct,525
autopilot,520
well,519
part,517
red,515
less,512
sinc,511
lever,510
detector,509
associ,509
collis,504
commun,503
nav,502
taken,499
cyhz,498
oxygen,498
assign,496
pack,496
minor,496
dougla,494
around,494
windshield,492
deploy,488
oven,487
tsb,487
consult,487
seat,486
evacu,486
cycl,484
full,483
dissip,480
pour,477
end,477
clean,477
went,476
radio,475
dehavilland,473
fss,473
cdn,472
pull,470
ca,470
deic,470
still,469
sest,469
mask,465
pw,463
instal,462
overweight,461
york,459
assist,459
wen,459
hamilton,458
mel,456
nu,455
park,455
bell,455
goos,454
est,454
pie,453
sdr,452
order,449
move,449
cyow,446
princ,445
wind,444
avoid,443
flame,442
vor,442
express,440
rou,439
zero,435
toward,434
cancel,434
defect,432
hot,432
usa,431
airspe,430
work,428
prepar,425
overheat,425
lead,420
state,420
malfunct,419
quick,419
saskatoon,418
se,418
resolut,418
appli,416
bottl,414
cyzf,413
pierr,412
lo,408
firefight,408
go,407
sustain,404
aal,403
electron,402
may,400
par,400
tail,400
flt,400
restrict,399
duct,398
incidentmainten,398
northwest,398
respons,397
nois,397
includ,397
dump,396
four,396
tsc,395
manufactur,395
proxim,394
revers,393
broken,393
transat,391
american,390
troubleshoot,389
rapid,388
roug,387
loud,387
surfac,386
snow,386
disconnect,385
path,385
british,385
chicago,385
abort,384
regina,381
addit,381
day,379
encor,378
ual,377
felt,377
item,376
threshold,375
bear,374
ahead,373
ask,373
although,371
cyx,369
cyyt,369
cours,369
ont,369
risk,368
exhaust,368
chip,365
avail,365
turbin,364
lesag,363
discharg,362
transfer,362
piper,361
