word,frequency
flight,24409
aircraft,23150
crew,18408
land,12235
oper,9561
air,6781
return,6775
mainten,6176
emerg,6093
declar,5648
without,5526
servic,5241
intl,4669
airport,4431
incid,4235
smoke,4180
canada,4120
flap,4051
runway,3908
system,3831
passeng,3706
cabin,3557
replac,3546
conduct,3424
request,3342
approach,3205
boe,3150
found,3107
inspect,3015
hydraul,2748
indic,2652
pan,2558
control,2539
toronto,2520
continu,2491
report,2405
arff,2345
fuel,2307
intern,2300
fire,2286
receiv,2276
pilot,2243
registr,2163
board,2114
attend,2113
vancouv,2106
engin,2099
cyyz,2093
airbu,2033
left,2021
light,2015
pressur,1994
due,1980
approxim,1912
member,1904
damag,1802
cruis,1787
feet,1772
right,1754
complet,1742
unev,1717
depart,1712
calgari,1703
gate,1700
aca,1672
rout,1665
takeoff,1665
brake,1663
fl,1653
check,1629
warn,1619
fault,1608
divert,1601
climb,1582
advis,1575
descent,1570
taxi,1563
en,1498
qc,1463
atc,1456
carri,1449
cyul,1433
safe,1432
problem,1427
messag,1423
follow,1413
fail,1406
airlin,1403
ab,1379
bc,1376
number,1367
injuri,1361
gear,1334
checklist,1320
determin,1318
smell,1314
unit,1309
observ,1278
standbi,1265
perform,1233
dhc,1229
duti,1198
stand,1189
departur,1179
door,1164
unabl,1157
compani,1156
notic,1127
one,1110
er,1107
electr,1107
subsequ,1104
qrh,1103
trudeau,1098
power,1094
pearson,1089
leak,1079
helicopt,1077
cyvr,1069
initi,1066
captain,1059
ground,1058
becam,1051
normal,1043
personnel,1037
posit,1019
jazz,1006
stop,1006
apu,1002
cyyc,996
test,984
cockpit,984
arriv,982
line,981
experienc,978
main,977
enrout,964
cargo,963
nm,959
back,958
select,950
condit,938
caus,936
altitud,933
procedur,932
destin,930
minut,918
shortli,917
elect,896
area,890
note,880
illumin,865
instrument,859
level,847
elliott,846
aviat,841
westjet,829
remain,823
wheel,819
reveal,819
medic,818
ac,814
winnipeg,807
failur,791
call,790
torontolest,785
jza,781
requir,779
valv,773
time,766
ill,758
releas,756
wing,750
rule,750
de,749
remov,738
edmonton,735
fluid,727
montreal,721
first,721
clear,713
tire,706
embraer,704
bay,702
action,701
burn,699
could,695
two,689
turn,672
torontolbpia,669
circuit,668
turbul,667
howev,661
issu,660
upon,660
roll,656
result,655
caution,653
mile,651
shut,650
sever,642
made,630
load,630
use,627
contact,623
prioriti,623
loss,623
switch,620
final,619
nose,607
pump,605
north,598
john,597
prior,596
tow,588
manual,586
per,586
come,578
event,573
investig,572
bombardi,569
detect,567
montrealpierr,567
eica,566
galley,562
trim,561
low,558
ecam,554
lbpia,551
havilland,549
deplan,549
degre,544
odour,543
st,543
slat,542
began,542
encount,540
inform,539
also,538
mb,537
aft,535
halifax,534
later,533
would,533
forward,528
breaker,527
gener,526
decid,521
clb,519
descend,515
edg,512
reset,512
equip,512
offic,505
side,505
wja,504
precaut,501
actuat,499
hold,493
sign,490
oven,487
lp,484
bleed,483
difficulti,480
canadair,478
second,478
panel,475
region,475
oxygen,470
divers,470
temperatur,468
met,468
clearanc,467
start,464
quantiti,461
windshield,461
fan,460
ottawa,460
examin,459
taxiway,459
run,459
accord,457
amm,455
sourc,454
inc,454
heat,451
dissip,446
repair,444
new,444
lake,440
mask,440
dispatch,439
pack,434
hand,433
chang,431
extinguish,428
cyeg,427
seat,425
ltd,425
ontario,421
wire,416
canadian,415
crj,415
struck,414
activ,414
vicin,410
termin,410
vehicl,406
cywg,406
assembl,402
lower,402
cfr,402
mel,400
limit,399
visual,396
jet,395
immedi,394
confirm,394
deic,394
water,392
exit,390
occur,390
occurr,389
came,388
hour,387
airplan,386
deploy,386
handl,385
faulti,384
ifr,383
tank,382
transport,382
gander,381
minor,381
proceed,379
sensor,379
ramp,379
park,377
extend,374
beech,372
overweight,372
appear,366
rescu,365
abl,364
nl,364
evid,363
crack,360
refer,360
suspect,359
autopilot,359
miss,356
short,355
steer,353
function,348
speed,347
oil,346
notifi,346
