OccID,Summary
133272,the private ec120 helicopter registered c-ghni and operated by industries cover inc. took off from lac-des-neiges bound for quebec with the pilot and one passenger on board. the aircraft struck the surface of lac-a-l'epaule. the aircraft sustained substantial damage. the pilot and passenger evacuated the aircraft and sustained minor injuries. the passenger died while swimming to shore. the aircraft sustained substantial damage.final report summarysummaryat approximately 0907 eastern daylight time the eurocopter ec 120b helicopter (registration c ghni serial number 1131) departed lac des neiges quebec on a private visual flight rules flight to quebec/jean lesage international airport located 42 nautical miles (nm) to the south. approximately 15 minutes after takeoff the weather deteriorated and the pilot chose to land at lac a l'epaule 28 nm north of its destination. while overflying the lake at low altitude to verify the chosen landing spot the pilot turned on the demist hot air to clear the front windshield of condensation. the windshield immediately misted-up; the helicopter lost altitude and struck the surface of the water. the pilot and passenger sustained minor injuries and evacuated the aircraft successfully. the pilot helped the passenger towards the shore. they were assisted by two fishermen in a small boat and were then transported to hospital by ambulance. the passenger subsequently died. the helicopter which sank approximately 500 feet from shore in 25 feet of water was substantially damaged.
110090,"Cyclone 180, a private, amateur-built aircraft, took off from the Gouin reservoir towards Lake Matambin. According to a witness, the ceiling was unlimited and visibility was over 15 kilometres at the time of takeoff. The weather deteriorated en route with mist enveloping the mountaintops. Witnesses who were about 400 metres from the accident site heard and then observed the aircraft flying over them at about 30 feet above the treetops before losing sight of it in the mist. A few seconds later, the seaplane struck trees at the top of a mountain. Both occupants died in the accident."
99229,"The Bel-Air pilot was conducting an approach on a snowy and elevated surface. On short final, the pilot decided to make a climb after realizing that he was lower than the runway. During the maneuver, the ski-equipped aircraft stalled at approximately 25 agl. The aircraft struck the ground on the right side. The pilot and passenger suffered minor facial injuries. The aircraft was not equipped with harnesses. The aircraft was heavily damaged."
97566,the kitfox iv suffered an engine failure (rotax 582) in cruise flight. the pilot made an emergency landing in a plowed field. the aircraft flipped over during the landing roll. the pilot estimates there was about a gallon of fuel in each wing.
97551,"During the takeoff run, the C-172 pilot judged that there was not enough runway left to take off and decided to abort the takeoff. The aircraft left the runway and hit a ditch before coming to a stop 300 feet away."
97065,"At takeoff at a height of about 20 feet, a downwind blew the b8n to the ground. The gyrocopter hit the ground hard. The aircraft suffered significant damage."
96733,"The instructor pilot was demonstrating low-altitude steep turns in the float-equipped C-180. During a turn, the flap control lever, which was incorrectly engaged in the 30° position, unexpectedly moved back to the 20° position. The aircraft suddenly lost altitude, and the left float and tail struck trees. The pilot landed without further incident."
94169,"When the C-208 amphibious aircraft landed, its landing gear was down. The aircraft flipped over after hitting the water. The aircraft came to rest on its back, held on the surface of the river by its floats. More information to follow."
93868,"Thirteen minutes after takeoff, the pilot of the SA 226-TC informed the controller that he wanted to return to Dorval because of a problem with the hydraulic system. Seven minutes later, the pilot decided to land at Mirabel after reporting a fire in the left engine. The aircraft crashed on runway 24 before coming to rest on its back in a ditch at the edge of the runway. All eleven occupants died in the accident."
93155,"During a solo training flight, the student pilot and co-owner of the Aeronca was practicing precautionary landings in a field and decided to land. During the touchdown and initial landing roll, he applied the heel brakes too abruptly and the Aeronca nosedived and ended up almost upside down. There is damage to the propeller, the engine, the engine cowling, the left wing and the canvas."
92944,"The Cessna 172 was departing Runway 14 with a right crosswind. During the takeoff roll, a gust of wind lifted the right wing and the aircraft lifted off prematurely at approximately 40 mph. The pilot then applied the steering wheel to the right to straighten the wings and applied full left rudder to maintain the runway heading. When the wind speed decreased, the aircraft lost altitude and landed on the runway. Since the pilot had not yet released the left rudder pedal, the aircraft veered toward the north side of the runway where it overturned after hitting a snow bank. The aircraft sustained substantial damage. The pilot was not injured in the accident. The wind was 215? magnetic at 15 knots."
92655,"The Murphy Rebel took off from Gatineau Airport. At an altitude of about 100 feet, the engine stopped. The pilot made a forced landing and brought the aircraft to a stop in a field 200 feet from the runway threshold. The Honda engine had only accumulated 15 hours of operation."
92511,"The ATR 42 landed on Runway 27 at Sept-Iles and then taxied to the parking area where it was to stop at Gate #1. Three signallers were helping the pilot manoeuvre. One was in front of the aircraft while the other two were at the wingtips. Near the terminal, the aircraft was to turn left. According to the crew members, the pilot applied the brakes after judging that the space between the right wingtip and the building was tight. He released the brakes and then moved forward after the signaller near the terminal and the right wing indicated that the wing was passing. The aileron tip struck the terminal and sustained significant damage. The signallers stated that they signalled to the pilots to stop before the collision occurred but that the pilots were not looking at them."
92292,"The Piper PA-31 Navajo was on a charter flight from Iqaluit to Pangnirtung with one passenger on board. Upon landing, the crew saw the three green landing gear lights and visually confirmed the gear position using mirrors. Upon landing, just before applying the brakes, the nose gear collapsed. The crew reported a normal landing and the aircraft came to rest in the centre of the runway. The weather at the time of the incident was: wind calm, visibility 15 miles, ceiling 21,000 feet scattered. Damage was reported to be limited to the nose gear and both propellers. No injuries. Runway conditions at the time of the incident were 40% bare and frozen, with 60% snow puddles one-half to one inch thick. Other damage is limited to some scratches on the nose of the device. An update will follow."
92173,A mid-air collision occurred between a C-172 and a C-150 while the aircraft were on final for Runway 29 in Mascouche. The occupants of each of the two aircraft both suffered fatal injuries.
91738,"The aircraft, a PA-12, coming from Selbaye Mine and bound for Amos, had engine misfires while cruising. The pilot applied the ailerons a few times to swing the wings from left to right and the engine regained power. The pilot suspected that the fuel was contaminated by water. The aircraft regained about 150 feet of altitude but further engine misfires occurred. The engine continued at idle speed; the power was insufficient to maintain altitude and the pilot had to make an emergency landing in a swamp. The pilot suffered minor injuries to his right wrist while the passenger escaped unharmed. The aircraft suffered significant damage."
91622,"During the final approach, the Zenair CH-701's engine (Rotax 583) stopped when the pilot reduced the throttle. The aircraft landed approximately 200 feet short of the threshold of Runway 14. The nose wheel was torn off and the belly of the aircraft was heavily damaged. The pilot escaped unharmed. The aircraft's owner suspects a malfunction of the engine's fuel pump."
91608,"during landing roll on runway 07 the nose wheel of the seneca collapsed. the pilot did not report any anomalies before the gear failure. the cause has not been established. information to follow. 13 nov 97: after examining the nose gear the operator suspects excessive wear of the \nose gear down lock linkage\"" part no 95724-00."""
91544,The Cessna 152 with two occupants on board was pulling up to the Turtle Lake runway when the right wing struck a tree and the aircraft fell to the ground nose down. Preliminary information received indicates that the aircraft was pulling up into a downwind position with the flaps up and the engine developing power. The pilot had little experience and all indications are that the aircraft had passed the runway threshold when the downwind pull-up without flaps was initiated. The aircraft had not climbed sufficiently to avoid impact with the trees and then crashing into the ground.
91476,"During the initial climb, the pilot of the Cessna 185 on fleets noticed a loss of power and chose to land straight ahead since he did not have enough altitude to return to the lake. The aircraft landed in the trees and sustained significant damage. SAR was called to intervene. The pilot was unharmed. The weather conditions were VFR and the aircraft had a weight and balance within the manufacturer's limits. The fuel tanks were 3/4 full. The engine has 331 hours. The engine will be sent to the Transportation Safety Board of Canada laboratory for analysis. Information to follow."
91191,a97: a97q0183: the float-equipped aztec crashed shortly after takeoff from squaw lake. during the crash the plane struck electrical wires and burst into flames. the pilot survived the crash but both passengers died.
91023,"While on short final, the pilot of the Cessna 180 made a climb. After making a left turn, the aircraft made a right turn and crashed into the side of a hill. The aircraft caught fire shortly after impact."
90920,"Following a local night flight, the pilot of the Cessna 150 did not flare the aircraft when landing. The aircraft landed abruptly, the nose landing gear broke and the aircraft ended up on its nose. The approach to the runway was at 70 mph and with 30 degrees of flaps. It appears that the strobe light blinded the pilot as he flared the aircraft for landing. There were no injuries. The engine mount, propeller and nose landing gear were damaged. The pilot had not flown at night since May 1997."
90616,"The pilot and two passengers boarded a Cessna 172K on floats and took off from Lake Aiguillon for a fishing trip to Peribonka. During takeoff, according to the pilot, the temperature and humidity were high. In addition, the winds were crosswinds during takeoff. During the initial climb, the aircraft was unable to climb sufficiently and one of the floats hit the rocks of a peninsula located in the flight path. The aircraft came to a stop after the peninsula. The floats and float attachments were heavily damaged. No one was injured. According to the pilot, the weight and balance of the aircraft were within the permitted limits."
90229,the pilot was conducting a test and demonstration flight of the rotorcraft helicopter. in flight smoke began to billow from the engine compartment. the pilot immediately initiated an approach to make an emergency landing. at approximately 50 feet above ground level the engine (rotax 912) seized and shut down. the pilot landed the aircraft hard and the helicopter skidded to a halt. both occupants were unharmed. the aircraft then caught fire. the pilot discovered the oil filter on the ground and outside the aircraft. it was determined that the filter had unscrewed from the engine and that the threads on the filter rod holding it to the engine had been forced. the owner will submit an sdr to transport canada to have clips added to prevent the filter from unscrewing in flight.
90227,"The pilot alone on board the Tierra II ultralight was landing on a private runway with a tailwind. During taxiing, the pilot lost directional control of the aircraft, which spun. He applied the throttle again and, as the distance was insufficient, the aircraft crashed into the water. The pilot died."
89996,"A Cessna 172 aircraft on floats with a pilot and a passenger on board was taxiing on a lake to take up position near a river mouth. When the pilot turned around to take up position, the strong crosswind lifted the aircraft and caused it to tip over onto its nose. The aircraft remained suspended by the floats. The two occupants evacuated the cabin quickly during the rotation and swam back to shore. After a long walk, they were able to meet other people who took charge of them."
89799,"The ultralight aircraft, which was being advanced on skis, had just taken off in a westerly direction from the frozen surface of Lake St. Jean for a training flight under visual flight conditions. The aircraft was sighted shortly after takeoff and, according to the testimonies collected, was heading west. At approximately 2:00 p.m., an emergency signal emitted by a distress radio beacon was picked up by the Sarsat satellite. The central search and rescue unit dispatched a helicopter from the Bagotville base to the scene of the accident. The aircraft was spotted on the frozen surface of Lake St. Jean where it had crashed. The two occupants of the aircraft had suffered fatal injuries. The pilot who owned the aircraft held a student pilot permit for an ultralight aircraft that had been issued to him in July 1996. According to the privileges of a student pilot permit (airplane), any flight must be authorized by an instructor. There is no indication that the pilot was authorized for the flight undertaken. His companion had a private pilot license for a conventional aircraft and acted as pilot-in-command and instructor during the flight. He was not qualified to provide flight instruction on ultralight aircraft according to the regulations in force. The aircraft was a CADI model, an advanced type ultralight. The owner had assembled the aircraft himself over a period of approximately fourteen months. The aircraft was certified as equipped and maintained in accordance with existing aviation regulations and approved procedures. The weight and balance were within prescribed limits. The manufacturer had approved the spins and stalls in accordance with the advanced ultra-light aeroplane design standards. Examination of the aircraft at the accident site determined that there was no airframe failure or system malfunction before or during the flight. Inspection of the propeller blades suggests that the engine was operating at full power at the time of impact with the ground. The short wreckage trail and evidence of high vertical forces indicate that the aircraft crashed in a stall or spin. As a result of the impact forces, both occupants were killed. the aircraft was equipped with seat belts and both occupants were wearing their seat belts. the weather conditions were suitable for visual flight the wind was calm and visibility was unlimited. at this location and time of year the lake is covered with ice and snow. when flying over the uniform white surface of the frozen lake it is difficult to accurately assess the height of the aircraft above the surface of the frozen lake during the exercise. the aircraft stalled at an altitude from which recovery from the stall or spin was impossible. there is no indication that the pilot's performance was compromised by any incapacity of physiological or psychological factors."
89688,"The student pilot aboard a Cessna 152 was performing solo touch-and-gos on Runway 06. After the third touch-and-go, the pilot applied power and the aircraft drifted to the right. The student pilot was unable to maintain directional control of the Cessna, which ended up off the runway and overturning. The runway is 150 feet wide and the winds were calm. The student pilot had nearly 40 hours of dual flight time and only 2 hours of solo flight time. No anomalies were detected on the aircraft."
89609,"The pilot of the Piper PA-28 made a descent from 1,200 agl to 700 agl. When the power was restored, the engine misfired. The pilot immediately selected carburetor reheat. The engine regained power, but it was too late. The pilot was forced to land the aircraft in a field. The aircraft suffered significant damage to the wings and nose gear."
89313,"On short final for runway 27, the Beech 23 was blown to the left by a gust of wind. The aircraft landed south of the runway in the snow. The wind was from 330 degrees at 10 knots - 15 knots. All four occupants were unharmed. The aircraft sustained significant damage."
89271,"The pilot of the AS350D was performing a patrol of the railway line. The pilot landed on the track parallel to the rail and with the right end of the main rotor under a telephone wire. During takeoff, a blade collided with the telephone wire. The pilot landed without further problems and no occupants were injured. The weather conditions were Cavok."
89085,"The pilot of the Cessna 172N and his three passengers were flying over the municipality of La Baie at an altitude of 1,300 feet when the engine misfired. The pilot landed the aircraft in the Alcan parking lot but the left wing struck a light pole during deceleration on the ground. It appears that one of the fuel lines was clogged with ice. The outside temperature was -28 degrees at the time of the occurrence."
88575,"The home-built Cyclone 180 had landed on Lake Kavisilivulik to drop off the pilot's father, who had a camp there. The aircraft's engine was still running since the pilot had been having problems with his starter for some time. The pilot and a young man helped the other passenger unload the equipment on the left side of the aircraft. When boarding, the pilot asked the young man to go around the aircraft in order to board on the right side. The young man went around the aircraft toward the front and was struck by the propeller. He was pronounced dead a short time later at the Kuujjuaq hospital. The police visited the scene."
88272,"The Cessna 140 aircraft landed on the 50-foot-wide asphalt runway. While taxiing, the pilot lost directional control of the aircraft. The Cessna with tailwheel came to rest inverted on the runway. Crosswinds were blowing at 10 knots. The two occupants were not injured."
88266,"The pilot of the Avid Flyer on Floats (amateur-built) was making an approach into a bay. The water conditions were glassy. As it flared near the surface, the aircraft stalled and the right wing hit the water. The aircraft remained on its floats but the wing was heavily damaged. The pilot was not injured."
