OccID,Summary
133272,L'hélicoptère EC120 privé immatriculé C-GHNI et exploité par Industries Cover INC. a décollé du lac-des-Neiges à destination de Québec avec le pilote et un passager à son bord. L'appareil a percuté la surface du lac-à-l'Épaule. L'appareil a subi des dommages importants. Le pilote et le passager ont évacué l'appareil et ont subi des blessures mineures. Le passager est décédé en nageant vers la rive. L'appareil a été substantiellement endommagé.Final Report SummarySummaryAt approximately 0907 eastern daylight time the Eurocopter EC 120B helicopter (registration C GHNI serial number 1131) departed Lac des Neiges Quebec on a private visual flight rules flight to Québec/Jean Lesage International Airport located 42 nautical miles (nm) to the south. Approximately 15 minutes after takeoff the weather deteriorated and the pilot chose to land at Lac à l'Épaule 28 nm north of his destination. While overflying the lake at low altitude to verify the chosen landing spot the pilot turned on the demist hot air to clear the front windshield of condensation. The windshield immediately misted-up; the helicopter lost altitude and struck the surface of the water. The pilot and passenger sustained minor injuries and evacuated the aircraft successfully. The pilot helped the passenger towards the shore. They were assisted by two fishermen in a small boat and were then transported to hospital by ambulance. The passenger subsequently died. The helicopter which sank approximately 500 feet from shore in 25 feet of water was substantially damaged.
110090,LE CYCLONE 180 UN APPAREIL PRIVÉ DE CONSTRUCTION AMATEUR A DÉCOLLÉ DU RÉSERVOIR GOUIN EN DIRECTION DU LAC  MATAMBIN.  SELON UN TÉMOIN LE PLAFOND ÉTAIT ILLIMITÉ ET LA VISIBILITÉ ÉTAIT PLUS DE 15 KILOMÈTRES AU MOMENT DU DÉCOLLAGE.  LA  MÉTÉO S'EST DÉTÉRIORÉE EN ROUTE AVEC DE LA BRUME QUI ENVELOPPAIT LE SOMMET DES MONTAGNES.  DES TÉMOINS QUI SE TROUVAIENT  À ENVIRON 400 MÈTRES DU SITE DE L'ACCIDENT ONT ENTENDU PUIS OBSERVÉ L'APPAREIL LES SURVOLER À QUELQUES 30 PIEDS AU DESSUS DE LA CIME DES ARBRES AVANT DE LE PERDRE DE VUE DANS LA BRUME.  QUELQUES SECONDES PLUS TARD L'HYDRAVION A PERCUTÉ DES ARBRES AU SOMMET D'UNE MONTAGNE.  LES DEUX OCCUPANTS SONT MORTS LORS DE L'ACCIDENT.
99229,LE PILOTE DU BEL-AIR EFFECTUAIT UNE APPROCHE SUR UNE SURFACE ENNEIGÉE ET SURÉLEVÉE. EN COURTE FINALE LE PILOTE A DÉCIDÉ DE FAIRE UNE REMONTÉE APRÈS AVOIR RÉALISÉ QU'IL SE TROUVAIT PLUS BAS QUE LA PISTE. LORS DE LA MANOEUVRE L'APPAREIL MUNI DE SKIS A DÉCROCHÉ À ENVIRON 25 AGL. L'AVION A PERCUTÉ LE SOL SUR LE CÔTÉ DROIT. LE PILOTE ET LE PASSAGER ONT SUBI DES BLESSURES MINEURES AU VISAGE. L'AVION N'ÉTAIT PAS MUNI DE BAUDRIERS. L'AÉRONEF A ÉTÉ FORTEMENT ENDOMMAGÉ.
97566,LE KITFOX IV A SUBI UNE PANNE MOTEUR (ROTAX 582) EN VOL DE CROISIÈRE.  LE PILOTE A EFFECTUÉ UN ATTERRISSAGE D'URGENCE DANS UN CHAMP LABOURÉ.  L'APPAREIL A CAPOTÉ PENDANT LA COURSE À L'ATTERRISSAGE.  LE PILOTE ESTIME QU'IL Y AVAIT ENVIRON UN GALLON DE CARBURANT DANS CHAQUE AILE.
97551,LORS DE LA COURSE AU DÉCOLLAGE LE PILOTE DU C-172 A JUGÉ QU'IL NE RESTAIT PAS SUFFISAMMENT DE PISTE POUR PRENDRE SON ENVOL ET A DÉCIDÉ D'INTERROMPE LE DÉCOLLAGE.  L'APPAREIL A QUITTÉ LA PISTE PUIS HEURTÉ UN FOSSÉ AVANT DE S'IMMOBILISER 300 PIEDS PLUS LOIN.
97065,AU DÉCOLLAGE À UNE HAUTEUR D'ENVIRON 20 PIEDS UN VENT DESCENDANT A RABATTU LE B8N AU SOL.  LE GYROCOPTÈRE A PERCUTÉ DUREMENT LE SOL.  L'APPAREIL A SUBI DES DOMAGES IMPORTANTS.
96733,LE PILOTE INSTRUCTEUR EFFECTUAIT UNE DÉMONSTRATION DE VIRAGES SERRÉS À BASSE ALTITUDE À BORD DU C-180 ÉQUIPÉ DE FLOTTEURS.  PENDANT UN VIRAGE LE LEVIER DE COMMANDE DES VOLETS QUI ÉTAIT MAL ENGAGÉ DANS LA POSITION 30° A INOPINÉMENT REMONTÉ À LA POSITION 20°.  L'APPAREIL A SOUDAINEMENT PERDU DE L'ALTITUDE ET LE FLOTTEUR GAUCHE AINSI QUE L'EMPENNAGE ARRIÈRE ONT HEURTÉ DES ARBRES.  LE PILOTE A ATTERRI SANS AUTRE PROBLÈME.
94169,LORS DE L'AMERRISSAGE LE TRAIN D'ATTERRISSAGE DU C-208 AMPHIBIE ETAIT SORTI.  L'APPAREIL A CAPOTE APRES AVOIR TOUCHE L'EAU.   L'AVION S'EST IMMOBILISE SUR LE DOS RETENU A LA SURFACE DE LA RIVIERE PAR SES FLOTTEURS.  INFORMATION A SUIVRE.
93868,TREIZE MINUTES APRES LE DECOLLAGE LE PILOTE DU SA 226-TC A INFORME LE CONTROLEUR QU'IL DESIRAIT REVENIR A DORVAL A CAUSE D'UN PROBLEME AVEC LE SYSTEME HYDRAULIQUE.  SEPT MINUTES PLUS TARD LE PILOTE A DECIDE D'ATTERRIR A MIRABEL APRES AVOIR RAPPORTE UN FEU AU MOTEUR GAUCHE.  L'APPAREIL S'EST ECRASE SUR LA PISTE 24 AVANT DE S'IMMOBILISER SUR LE DOS DANS UN FOSSE EN BORDURE DE LA PISTE.  LES ONZE OCCUPANTS ONT PERI DANS L'ACCIDENT.
93155,LORS D'UN VOL D'ENTRAINEMENT EN SOLO L'ELEVE-PILOTE CO-PROPRIETAIRE DE L'AERONCA PRATIQUAIT DES ATTERRISSAGES DE PRECAUTION DANS UN CHAMP ET A DECIDE D'ATTERRIR.  AU MOMENT DU TOUCHE DES ROUES ET DU ROULEMENT INITIAL A L'ATTERRISSAGE IL A APPLIQUE LES FREINS DE TALONS TROP BRUSQUEMENT ET L'AERONCA A PIQUE DU NEZ ET S'EST RETROUVE PRESQUE SUR LE DOS.  IL Y A DES DOMMAGES A L'HELICE LE MOTEUR LE CAPOT MOTEUR L'AILE GAUCHE ET LA TOILE.
