OccID,OccNo,Latitude,Longitude,CountryID_DisplayEng,OccDate,OccIncidentTypeID_DisplayEng,OccTime,OccTypeID_DisplayEng,ProvinceID_DisplayEng,InitTSBNotifDate,ReportedByID_DisplayEng,RespRegionID_DisplayEng,Summary,InjuriesEnum_DisplayEng,DeployedEnum_DisplayEng,RegistrationNo,AircraftTypeID_DisplayEng,AircraftMakeID_DisplayEng,OrganizationID_DisplayEng,OperatorTypeID_DisplayEng,WeightCategoryID_DisplayEng,LandingGearID_DisplayEng,WakeTurbulenceCategoryID_DisplayEng,YearOfManuf,NumberOfEngine,DamageLevelID_DisplayEng,OperationTypeID_DisplayEng,ICAODepart
150161,A17P0097,51.3,-128.8166667,CANADA,2017-07-07,EMERGENCY/PRIORITY (xi),01:10:00,INCIDENT,,7/7/2017 12:00:00 AM,NAV CANADA,PACIFIC,N174DZ a Boeing 767-300 aircraft operated by Delta Airlines was conducting flight DAL129 from Seattle-Tacoma Intl WA (KSEA) to Beijing/Capital China (ZBAA). Less than an hour after the departure at FL320 the flight crew declared an emergency due to an unruly passenger. A diversion back to KSEA was requested and the flight landed back to its origin without further incident.,No,No,N174DZ,AEROPLANE,BOEING,DELTA AIR LINES,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,1998,2,NONE,AIR TRANSPORT,KSEA
150158,A17F0156,52.2091,7.3198,GERMANY,2017-07-04,EMERGENCY/PRIORITY (xi),08:17:00,INCIDENT,,7/4/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-FGZI a McDonnell Douglas A4N aircraft operated by Discovery Air Defence Services was conducting tactical flight SKYHAWK3 from its base in Nordholz-Spieka/Cuxhaven Germany (ETMN). Shortly after the departure at FL250 the generator failed. Since resetting the generator was not possible the Ram Air Turbine (RAT) was deployed. The pilot declared an emergency and proceeded to burn off some fuel for the landing. The aircraft returned to ETMN without further event.The operator’s maintenance discovered that the main generator failed for unknown reasons and proceeded to replace it. The aircraft was returned to service. The occurrence was also captured in the operator’s Safety Management System (SMS).,No,No,C-FGZI,AEROPLANE,MCDONNELL DOUGLAS,DISCOVERY AIR DEFENCE SERVICES INC.,COMMERCIAL,5701-27000 KG   (12566-59525 LBS),TRICYCLE ALL RETRACT,MEDIUM,1976,1,NONE,OTHER,ETMN
150155,A17F0155,48.0,-50.0,INTERNATIONAL WATERS,2017-07-02,UNABLE TO PERFORM (vi),05:30:00,INCIDENT,,7/4/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GHLQ a Boeing 767-300 aircraft operated by Air Canada rouge was conducting flight ROU1936 from Montreal/Pierre Elliott Trudeau Intl QC (CYUL) to Casablanca/Mohammed V Intl Morocco (GMMN). During cruise flight a cabin crew member received a minor injury and was subsequently removed from further duties. Medical attention was provided through StatMD. Positions were reassigned among the other cabin crew members for the remainder of the flight. The aircraft landed in GMMN without further event.,Yes,No,C-GHLQ,AEROPLANE,BOEING,AIR CANADA ROUGE,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,2001,2,NONE,AIR TRANSPORT,CYUL
150130,A17F0147,48.0,-50.0,INTERNATIONAL WATERS,2017-06-25,UNABLE TO PERFORM (vi),09:10:00,INCIDENT,,6/27/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GHLV a Boeing 767-300 aircraft operated by Air Canada rouge was conducting flight ROU1924 from Toronto/Lester B. Pearson Intl ON (CYYZ) to London/Gatwick UK (EGKK). During cruise flight a cabin crew member became unwell and discontinued duties. Medical attention was provided through StatMD. Positions were reassigned among the other cabin crew members for the remainder of the flight. The aircraft landed in EGKK without further event.,No,No,C-GHLV,AEROPLANE,BOEING,AIR CANADA ROUGE,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,2001,2,NONE,AIR TRANSPORT,CYYZ
150107,A17A0045,59.26666667,-46.31666667,CANADA,2017-06-21,ENGINE (i),17:54:00,INCIDENT,,6/21/2017 12:00:00 AM,NAV CANADA,ATLANTIC,C-GOAB a private Dassault Falcon 2000EX aircraft operated by Starlink Aviation was conducting a flight from Århus/Tirstrup Denmark (EKAH) to Montreal/Pierre Elliott Trudeau Intl QC (CYUL). While in cruise flight over the Atlantic in the vicinity of 59N/046W at FL400 the flight crew received a LOW ENGINE OIL PRESSURE CAS message for the number 2 engine. The number 2 engine oil pressure was observed to fluctuate between 25 and 75 PSI and was gradually decreasing in pressure. The flight crew set the number 2 engine power to idle; when the pressure decreased below 20 PSI the flight crew shut the engine down as per the checklist and declared a PAN PAN. A diversion to Goose Bay NL (CYYR) was requested where the aircraft landed without further incident.Maintenance personnel determined that an oil leak from the generator seal on the number 2 engine caused the low oil pressure condition.,No,No,C-GOAB,AEROPLANE,DASSAULT-BREGUET,Starlink Aviation Inc,PRIVATE,5701-27000 KG   (12566-59525 LBS),TRICYCLE ALL RETRACT,MEDIUM,2006,2,NONE,PLEASURE/TRAVEL,EKAH
150089,A17A0043,48.0,-44.5,CANADA,2017-06-16,EMERGENCY/PRIORITY (xi),14:04:00,INCIDENT,,6/16/2017 12:00:00 AM,NAV CANADA,ATLANTIC,C-GFAT an Airbus 310-300 aircraft operated by Air Transat was conducting flight TSC337 from Lisbon/Aeroporto da Portela de Sacavem Portugal (LPPT) to Toronto/Lester B. Pearson Intl ON (CYYZ). During cruise flight approximately 335 nautical miles East of the coast of Newfoundland the flight crew received an ECAM message advising of Yellow Hydraulic System Low Level. The flight crew completed the required checklists declared PAN PAN and continued to destination without further event.The operator’s maintenance identified and repaired the hydraulic leak at the leakage measurement isolation valve.,No,No,C-GFAT,AEROPLANE,AIRBUS,AIR TRANSAT,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,1991,2,NONE,AIR TRANSPORT,LPPT
150083,A17F0139,43.66527778,7.215,FRANCE,2017-06-15,SMOKE OR FIRE (iii),13:40:00,INCIDENT,,6/15/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-FNNU a Boeing 777-300 aircraft operated by Air Canada was conducting flight ACA891 from Rome/Leonardo da Vinci Intl Italy (LIRF) to Toronto/Lester B. Pearson Intl ON (CYYZ). In the early stage of the flight at cruising altitude a smell of smoke was noted in the cabin. The flight crew elected to divert to Frankfurt/Rhein-Main Germany (EDDF) where they subsequently performed an uneventful overweight landing at 285 000 Kgs. The operator is conducting an internal investigation.,No,No,C-FNNU,AEROPLANE,BOEING,AIR CANADA,COMMERCIAL,OVER 272001 KG (599651 LBS),TRICYCLE ALL RETRACT,HEAVY,2013,2,NONE,AIR TRANSPORT,LIRF
150022,A17F0129,-17.94472222,122.2316667,AUSTRALIA,2017-05-23,ENGINE (i),12:34:00,INCIDENT,,6/6/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,"C-GSGU a Cessna 208B aircraft operated by Sanders Geophysics was conducting a flight from Denpasar/Ngurah Rai - Bali Intl Indonesia (WADD) to Broome Australia (YBRM). During taxi after the landing in YBRM the aircraft experienced an engine flameout. Immediately prior to the flameout the condition lever was set to 'Low Idle' the power lever was at or near \Idle\"" and the air conditioner to 'Ventilate'. There were no unusual sounds or gauge indications during the occurrence; however the ITT was observed to rise to 750° F as the engine spooled down. At this point the condition lever was brought to 'Cutoff' and the engine motored until the ITT decreased to 350° F. The aircraft was then secured as per the shutdown checklist. Subsequently the operator’s maintenance conducted a variety of checks and inspections with no faults found. Additionally multiple engine ground runs were carried out without replicating the flameout. A satisfactory test flight is to be accomplished prior to returning the aircraft to service.""",No,No,C-GSGU,AEROPLANE,CESSNA,SANDER GEOPHYSICS LIMITED,COMMERCIAL,2251-5700 KG    (4961-12565 LBS),TRICYCLE FIXED,LIGHT,1999,1,NONE,OTHER,WADD
150014,A17F0127,21.73027778,-69.86833333,PUERTO RICO,2017-06-03,EMERGENCY/PRIORITY (xi),23:45:00,INCIDENT,,6/4/2017 12:00:00 AM,WITNESS,HEAD OFFICE,C-FYJI an Airbus 319-100 aircraft operated by Air Canada was conducting flight ACA961 from Antigua/V.C. Bird Intl Antigua and Barbuda (TAPA) to Toronto/Lester B. Pearson Intl ON (CYYZ). During cruise flight approximately 285 nautical miles North West of San Juan/Luis Muñoz Marín Intl Puerto Rico (TJSJ) the flight crew noticed that there was a problem with the right fuel tank feed and that the engines could be fed from the left main and center tanks only. This situation resulted in a fuel imbalance that could not be corrected. The flight crew elected to divert to TJSJ and declared a PAN PAN as a precaution. The flight crew performed an overweight landing without further event.The operator’s maintenance is investigating the cause of the fuel feed problem.,No,No,C-FYJI,AEROPLANE,AIRBUS,AIR CANADA,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,1996,2,NONE,AIR TRANSPORT,TAPA
150000,A17F0126,55.87194444,-4.43305556,UNITED KINGDOM,2017-05-30,FUEL SHORTAGE (viii),06:30:00,INCIDENT,,5/31/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GWCN a Boeing 737-700 aircraft operated by WestJet was conducting flight WJA30 from Halifax/Stanfield Intl NS (CYHZ) to Glasgow/Abbotsinch UK (EGPF). During cruise flight the flight crew discovered that they were a little less than 500 lbs of fuel below the planned progression at the first fuel checkpoint. At the flight’s ETOPS exit point the aircraft was 1100 lbs below the planned fuel. During the oceanic crossing the flight crew monitored the fuel flow EGT and fuel balance and everything appeared to be normal. A fuel leak was suspected and the flight crew proceeded to shut down the APU. Approximately 40 minutes later the fuel seemed to have stabilized with 800 lbs above the required minimum to continue to EGPF. Then when the flight was 30 minutes from landing at destination the extra fuel started to decrease again. The flight crew declared a PAN PAN and requested priority handling by ATC. The aircraft landed in EGPF without further event; however the 800 extra fuel had all disappeared. ARFF checked the aircraft for leaks after the landing and did not find any.The operator is investigating the incident.,No,No,C-GWCN,AEROPLANE,BOEING,WESTJET,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,2005,2,NONE,AIR TRANSPORT,CYHZ
