OccID,OccNo,Latitude,Longitude,CountryID_DisplayEng,OccDate,OccIncidentTypeID_DisplayEng,OccTime,OccTypeID_DisplayEng,ProvinceID_DisplayEng,InitTSBNotifDate,ReportedByID_DisplayEng,RespRegionID_DisplayEng,Summary,InjuriesEnum_DisplayEng,DeployedEnum_DisplayEng,RegistrationNo,AircraftTypeID_DisplayEng,AircraftMakeID_DisplayEng,OrganizationID_DisplayEng,OperatorTypeID_DisplayEng,WeightCategoryID_DisplayEng,LandingGearID_DisplayEng,WakeTurbulenceCategoryID_DisplayEng,YearOfManuf,NumberOfEngine,DamageLevelID_DisplayEng,OperationTypeID_DisplayEng,ICAODepart
150161,A17P0097,51.3,-128.8166667,CANADA,2017-07-07,EMERGENCY/PRIORITY (xi),01:10:00,INCIDENT,UNKNOWN,7/7/2017 12:00:00 AM,NAV CANADA,PACIFIC,N174DZ a Boeing 767-300 aircraft operated by Delta Airlines was conducting flight DAL129 from Seattle-Tacoma Intl WA (KSEA) to Beijing/Capital China (ZBAA). Less than an hour after the departure at FL320 the flight crew declared an emergency due to an unruly passenger. A diversion back to KSEA was requested and the flight landed back to its origin without further incident.,No,No,N174DZ,AEROPLANE,BOEING,DELTA AIR LINES,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,1998,2,NONE,AIR TRANSPORT,KSEA
150155,A17F0155,48.0,-50.0,INTERNATIONAL WATERS,2017-07-02,UNABLE TO PERFORM (vi),05:30:00,INCIDENT,UNKNOWN,7/4/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GHLQ a Boeing 767-300 aircraft operated by Air Canada rouge was conducting flight ROU1936 from Montreal/Pierre Elliott Trudeau Intl QC (CYUL) to Casablanca/Mohammed V Intl Morocco (GMMN). During cruise flight a cabin crew member received a minor injury and was subsequently removed from further duties. Medical attention was provided through StatMD. Positions were reassigned among the other cabin crew members for the remainder of the flight. The aircraft landed in GMMN without further event.,Yes,No,C-GHLQ,AEROPLANE,BOEING,AIR CANADA ROUGE,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,2001,2,NONE,AIR TRANSPORT,CYUL
150130,A17F0147,48.0,-50.0,INTERNATIONAL WATERS,2017-06-25,UNABLE TO PERFORM (vi),09:10:00,INCIDENT,UNKNOWN,6/27/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-GHLV a Boeing 767-300 aircraft operated by Air Canada rouge was conducting flight ROU1924 from Toronto/Lester B. Pearson Intl ON (CYYZ) to London/Gatwick UK (EGKK). During cruise flight a cabin crew member became unwell and discontinued duties. Medical attention was provided through StatMD. Positions were reassigned among the other cabin crew members for the remainder of the flight. The aircraft landed in EGKK without further event.,No,No,C-GHLV,AEROPLANE,BOEING,AIR CANADA ROUGE,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,2001,2,NONE,AIR TRANSPORT,CYYZ
150107,A17A0045,59.26666667,-46.31666667,CANADA,2017-06-21,ENGINE (i),17:54:00,INCIDENT,UNKNOWN,6/21/2017 12:00:00 AM,NAV CANADA,ATLANTIC,C-GOAB a private Dassault Falcon 2000EX aircraft operated by Starlink Aviation was conducting a flight from Århus/Tirstrup Denmark (EKAH) to Montreal/Pierre Elliott Trudeau Intl QC (CYUL). While in cruise flight over the Atlantic in the vicinity of 59N/046W at FL400 the flight crew received a LOW ENGINE OIL PRESSURE CAS message for the number 2 engine. The number 2 engine oil pressure was observed to fluctuate between 25 and 75 PSI and was gradually decreasing in pressure. The flight crew set the number 2 engine power to idle; when the pressure decreased below 20 PSI the flight crew shut the engine down as per the checklist and declared a PAN PAN. A diversion to Goose Bay NL (CYYR) was requested where the aircraft landed without further incident.Maintenance personnel determined that an oil leak from the generator seal on the number 2 engine caused the low oil pressure condition.,No,No,C-GOAB,AEROPLANE,DASSAULT-BREGUET,Starlink Aviation Inc,PRIVATE,5701-27000 KG   (12566-59525 LBS),TRICYCLE ALL RETRACT,MEDIUM,2006,2,NONE,PLEASURE/TRAVEL,EKAH
150089,A17A0043,48.0,-44.5,CANADA,2017-06-16,EMERGENCY/PRIORITY (xi),14:04:00,INCIDENT,UNKNOWN,6/16/2017 12:00:00 AM,NAV CANADA,ATLANTIC,C-GFAT an Airbus 310-300 aircraft operated by Air Transat was conducting flight TSC337 from Lisbon/Aeroporto da Portela de Sacavem Portugal (LPPT) to Toronto/Lester B. Pearson Intl ON (CYYZ). During cruise flight approximately 335 nautical miles East of the coast of Newfoundland the flight crew received an ECAM message advising of Yellow Hydraulic System Low Level. The flight crew completed the required checklists declared PAN PAN and continued to destination without further event.The operator’s maintenance identified and repaired the hydraulic leak at the leakage measurement isolation valve.,No,No,C-GFAT,AEROPLANE,AIRBUS,AIR TRANSAT,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,1991,2,NONE,AIR TRANSPORT,LPPT
150014,A17F0127,21.73027778,-69.86833333,PUERTO RICO,2017-06-03,EMERGENCY/PRIORITY (xi),23:45:00,INCIDENT,UNKNOWN,6/4/2017 12:00:00 AM,WITNESS,HEAD OFFICE,C-FYJI an Airbus 319-100 aircraft operated by Air Canada was conducting flight ACA961 from Antigua/V.C. Bird Intl Antigua and Barbuda (TAPA) to Toronto/Lester B. Pearson Intl ON (CYYZ). During cruise flight approximately 285 nautical miles North West of San Juan/Luis Muñoz Marín Intl Puerto Rico (TJSJ) the flight crew noticed that there was a problem with the right fuel tank feed and that the engines could be fed from the left main and center tanks only. This situation resulted in a fuel imbalance that could not be corrected. The flight crew elected to divert to TJSJ and declared a PAN PAN as a precaution. The flight crew performed an overweight landing without further event.The operator’s maintenance is investigating the cause of the fuel feed problem.,No,No,C-FYJI,AEROPLANE,AIRBUS,AIR CANADA,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,1996,2,NONE,AIR TRANSPORT,TAPA
149878,A17F0096,25.03888889,-77.46611111,BAHAMAS,2017-04-27,SMOKE OR FIRE (iii),19:00:00,INCIDENT,UNKNOWN,4/28/2017 12:00:00 AM,FOREIGN AIB,HEAD OFFICE,C-GBHZ an Airbus 319-100 aircraft operated by Air Canada rouge was conducting flight ROU1803 from Kingston/Norman Manley Intl Jamaica (MKJP) to Toronto/Lester B. Pearson Intl ON (CYYZ). During cruise flight at FL340 in the vicinity of Nassau/Lynden Pindling Intl Bahamas (MYNN) the flight crew noticed an abnormal vibration associated with a noise. A few minutes later a pop was heard followed by smoke coming from the centre pedestal; an ECAM message ensued. QRH procedures were executed and an emergency was declared. The flight crew elected to divert the aircraft to MYNN where it landed without further event.The operator’s maintenance discovered a defective avionics blower fan and replaced it in accordance with the Aircraft Maintenance Manual (AMM). After successful tests were carried out the aircraft was returned to service.,No,No,C-GBHZ,AEROPLANE,AIRBUS,AIR CANADA ROUGE,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,1998,2,NONE,AIR TRANSPORT,MKJP
149855,A17F0090,44.5,-135.0,INTERNATIONAL WATERS,2017-04-23,SMOKE OR FIRE (iii),03:00:00,INCIDENT,UNKNOWN,4/23/2017 12:00:00 AM,TRANSPORT CANADA,HEAD OFFICE,C-GBZR a Boeing 767-300 aircraft operated by Air Canada rouge was conducting flight ROU1831 from Vancouver Intl BC (CYVR) to Honolulu Intl HI (PHNL). During cruise flight at FL350 at approximately N4430 W135 the cabin crew detected smoke in the forward galley. The source of the smoke was identified as a utility light. A cabin crew member discharged a halon extinguisher and the flight crew deactivated the corresponding electrical circuit as a precaution. The flight crew declared a PAN PAN and diverted the flight to Portland Intl OR (KPDX) where the aircraft landed without further event.The air operator captured the incident in their Safety Management System (SMS) and is investigating.,No,No,C-GBZR,AEROPLANE,BOEING,AIR CANADA ROUGE,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,HEAVY,1992,2,NONE,AIR TRANSPORT,CYVR
149810,A17F0081,10.59305556,-85.54555556,COSTA RICA,2017-03-27,UNABLE TO PERFORM (vi),12:34:00,INCIDENT,UNKNOWN,4/11/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-FTZD a Boeing 737-800 aircraft operated by Sunwing Airlines was conducting flight SWG725 from Liberia/Daniel Oduber Quirós Intl Costa Rica (MRLB) to Toronto/Lester B. Pearson Intl ON (CYYZ). During cruise flight one of the cabin crew members became ill and was unable to continue their duties. The flight continued to destination without further event.,No,No,C-FTZD,AEROPLANE,BOEING,SUNWING AIRLINES INC.,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,2007,2,NONE,AIR TRANSPORT,MRLB
149777,A17F0073,18.50361111,-77.91333333,JAMAICA,2017-03-20,INCORRECT / CONTAMINATED FUEL(ix),12:34:00,INCIDENT,UNKNOWN,3/29/2017 12:00:00 AM,OPERATOR,HEAD OFFICE,C-FYJD a Boeing 737-800 aircraft operated by Sunwing Airlines was conducting flight SWG737 from Montego Bay/Sangster Intl Jamaica (MKJS) to Calgary Intl AB (CYYC). After the refueling procedure was completed during the pre-departure set up the flight crew noticed an abnormal behavior of the fuel gauges. The operator’s Maintenance Control Centre (MCC) was consulted and instructed the flight crew to have the fuel verified for contamination. The sample revealed that the fuel was contaminated with water by more than 30%. The passengers were deplaned and maintenance personnel proceeded to drain all water from the reservoirs. The flight subsequently departed and reached its destination without further event.,No,No,C-FYJD,AEROPLANE,BOEING,SUNWING AIRLINES INC.,COMMERCIAL,27001-272000 KG (59526-599650 LBS),TRICYCLE ALL RETRACT,MEDIUM,2015,2,NONE,AIR TRANSPORT,MKJS
