OccID,Latitude,Longitude,PROVINCE
150161,51.3,-128.8166667,BRITISH COLUMBIA
150155,48,-50,
150130,48,-50,
150107,59.26666667,-46.31666667,
150089,48,-44.5,
150014,21.73027778,-69.86833333,
149878,25.03888889,-77.46611111,
149855,44.5,-135,
149810,10.59305556,-85.54555556,
149777,18.50361111,-77.91333333,
149747,46.06666667,-33.28333333,
149707,47.49111111,-48.19472222,
149684,18.04083333,-63.10888889,
149679,26.55861111,-78.69555556,
149625,42.77527778,141.6922222,
149510,53.63333333,-44.65,
149346,49.96666667,-46.93333333,
149324,31,-70,
149284,50,-45,
149258,13.672475,-75.10605278,
149242,36,-140,
149231,59,-48,
149226,-79.7725,157.7598333,
149193,61.1176,-39.4,
149172,54.5,-40,
149154,54,-40,
149118,54,-30,
149065,60.11666667,-32.86666667,
149052,47.65,-34.6,
149028,61.89578333,-21.79848056,
149002,63.985,-22.60555556,
148976,48,-31,
148961,12.18888889,-68.95972222,
148934,47.95,-45.38333333,
148918,52.46805556,-54.63944444,
148917,48.5,-40,
148889,50.58847222,-8.49833333,
148888,0.80666667,-176.6163889,
148854,48.74583333,-132.1988889,
148763,53,-30,
148731,52.5,-34,
148676,25.03888889,-77.46611111,
148674,59.5,-43.00833333,
148551,25.29333333,-88.51833333,
148540,50,-49.5,
148536,46.25,-57.31666667,
148523,35.76527778,140.3855556,
148423,52.70194444,-8.92472222,
148394,48,-40,
148386,40.97611111,28.81388889,
148369,47.65,-34.21666667,
148365,62.4625,-58.50472222,
148345,27.93194444,-152.5172222,
148334,51.55222222,1.87138889,
148273,21.77388889,-72.26861111,
148248,53.42138889,-6.27,
148203,48,-50,
148202,-90,0.00027778,
148195,48,-50,
148194,61,-45,
148190,59,-46.5,
148162,48,-50,
148161,53,-41.11666667,
148159,53,-15,
148158,56,-34,
148131,17.93555556,-76.7875,
148110,60,-45,
148025,65,-50,
147960,53.35222222,-6.48833333,
147957,58,-50,
147929,51.8,-54.53333333,
147924,59,-40,
147918,54.1,-33.51666667,
147876,29.58222222,-14.01472222,
147820,78.6,-141.3555556,
147744,57,-180,
147689,48,-42,
147688,45.28333333,-57.75,
147674,53,-30,
147655,52.41666667,-33.83333333,
147519,53.42138889,-6.27,
147303,62,-40,
147291,18.50333333,-77.91333333,
147290,62,-40,
147172,56,-40,
147035,61,-41,
146979,19.29277778,-81.35777778,
146951,2.1,-105.4166667,
146424,53,-15,
121321,51.75,-44.7,
158943,19.43638889,-99.07222222,
158824,50,-145,
158760,38.78138889,-9.13583333,
158661,50.88333333,-46.18333333,
158326,4.70305556,-74.13833333,
158235,50.95,-50.18333333,
158220,49.36666667,-42.08333333,
158016,48,-50,
157749,40.4675,50.04666667,
157742,19.43638889,-99.07222222,
157741,-12.02194444,-77.11444444,
157272,48.2082,16.3738,
156894,19.43638889,-99.07222222,
156802,42.02750278,34.85546389,
156754,24.77282222,-86.33970556,
156533,60.61666667,-44.78333333,
156422,10.59305556,-85.54555556,
156339,21.45712778,-87.30729167,
156311,53.42138889,-6.27,
156048,56.58333333,-38.8,
155975,48,-50,
155912,56.5,-48,
155791,19.43638889,-99.07222222,
155766,58,-50,
155672,64,-30,
155417,22.37944444,-73.01361111,
155156,25.75841667,-77.22533889,
154362,48,-50,
154127,46.96666667,-33.91666667,
153935,49.9167,-49.6667,
153819,18.04083333,-63.10888889,
153609,10.59305556,-85.54555556,
153579,49.1426,-48.1539,
153502,52.70194444,-8.92472222,
153490,53.42138889,-6.27,
153274,37.25055556,27.66444444,
152846,62,-20,
152655,26.55861111,-78.69555556,
152479,21.37777778,-69.80027778,
152466,26.63583889,-78.6909,
152198,63.985,-22.60555556,
152051,42.65,-142.0456,
151881,58.93,-50.18944444,
151871,49.73333333,-51.26666667,
151416,59.66666667,-46.43333333,
151213,48,-50,
150751,48,-15,
150722,18.50361111,-77.91333333,
150671,39.55166667,24.7,
150379,35.3312,139.7811111,
150317,53.42138889,-6.27,
150299,43,-20,
150181,43.07222,-57.868,
146472,64.1355,-21.8954,
