OccID,Latitude,Longitude,PROVINCE
150161,51.3,-128.8166667,UNKNOWN
150158,52.2091,7.3198,NORDRHEIN-WESTFALEN
150155,48.0,-50.0,UNKNOWN
150130,48.0,-50.0,UNKNOWN
150107,59.26666667,-46.31666667,UNKNOWN
150089,48.0,-44.5,UNKNOWN
150083,43.66527778,7.215,PROVENCE-ALPES-CÔTE D'AZUR
150022,-17.94472222,122.2316667,WESTERN AUSTRALIA
150014,21.73027778,-69.86833333,UNKNOWN
150000,55.87194444,-4.43305556,ALBA / SCOTLAND
149981,51.15,-0.2,ENGLAND
149979,20.78555556,-76.315,HOLGUÍN
149958,50.03333333,8.57055556,HESSEN
149953,22.46111111,-78.32861111,CIEGO DE ÁVILA
149943,53.54805556,7.6675,NIEDERSACHSEN
149908,22.46111111,-78.32861111,CIEGO DE ÁVILA
149902,22.98916667,-82.40916667,LA HABANA
149880,4.44083333,45.21416667,HIIRAAN هيران
149878,25.03888889,-77.46611111,UNKNOWN
149855,44.5,-135.0,UNKNOWN
149827,23.03444444,-81.43527778,MATANZAS
149810,10.59305556,-85.54555556,UNKNOWN
149804,51.15,-0.2,ENGLAND
149801,22.46111111,-78.32861111,CIEGO DE ÁVILA
149777,18.50361111,-77.91333333,UNKNOWN
149762,23.03444444,-81.43527778,MATANZAS
149761,53.54805556,7.6675,NIEDERSACHSEN
149747,46.06666667,-33.28333333,UNKNOWN
149727,52.30861111,4.76388889,NOORD-HOLLAND
149707,47.49111111,-48.19472222,UNKNOWN
149684,18.04083333,-63.10888889,UNKNOWN
149679,26.55861111,-78.69555556,UNKNOWN
149630,14.86555556,-91.50194444,QUETZALTENANGO
149627,22.49222222,-79.94361111,VILLA CLARA
149625,42.77527778,141.6922222,UNKNOWN
149593,23.03444444,-81.43527778,MATANZAS
149553,15.74222222,-86.85305556,ATLÁNTIDA
149536,14.59222222,-60.99638889,MARTINIQUE
149532,50.90138889,4.48444444,VLAAMS-BRABANT
149519,-33.73333333,-70.58333333,REGIÓN METROPOLITANA DE SANTIAGO
149518,19.14472222,-104.5586111,COLIMA
149510,53.63333333,-44.65,UNKNOWN
149485,52.16583333,20.96722222,WOJEWÓDZTWO MAZOWIECKIE
149455,41.82255278,114.5427306,河北省
149454,34.56583333,69.2125,ولایت كابل
149453,51.4775,-0.46138889,ENGLAND
149452,48.52805556,135.1880556,ХАБАРОВСКИЙ КРАЙ
149444,21.03666667,-86.87694444,QUINTANA ROO
149420,15.77527778,-96.2625,OAXACA
149405,50.86583333,7.14277778,NORDRHEIN-WESTFALEN
149389,21.03666667,-86.87694444,QUINTANA ROO
149371,21.03666667,-86.87694444,QUINTANA ROO
149346,49.96666667,-46.93333333,UNKNOWN
149344,50.86583333,7.14277778,NORDRHEIN-WESTFALEN
149343,50.86583333,7.14277778,NORDRHEIN-WESTFALEN
149324,31.0,-70.0,UNKNOWN
149319,20.425,102.5647222,ຫລວງພະບາງ
149293,-34.20083333,-71.15,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
149286,9.99388889,-84.20888889,ALAJUELA
149284,50.0,-45.0,UNKNOWN
149275,19.26779444,-69.73215278,SAMANÁ
149270,-21.3575,-47.13777778,SÃO PAULO
149258,13.672475,-75.10605278,UNKNOWN
149242,36.0,-140.0,UNKNOWN
149231,59.0,-48.0,UNKNOWN
149226,-79.7725,157.7598333,UNKNOWN
149208,6.46970556,-1.41614444,ASHANTI REGION
149205,40.08,116.5844444,北京市
149193,61.1176,-39.4,UNKNOWN
149188,42.96666667,64.78333333,NAVOIY VILOYATI
149173,45.63055556,8.72805556,LOMBARDIA
149172,54.5,-40.0,UNKNOWN
149154,54.0,-40.0,UNKNOWN
149118,54.0,-30.0,UNKNOWN
149070,45.72555556,5.08111111,AUVERGNE-RHÔNE-ALPES
149065,60.11666667,-32.86666667,UNKNOWN
149052,47.65,-34.6,UNKNOWN
149028,61.89578333,-21.79848056,UNKNOWN
149002,63.985,-22.60555556,UNKNOWN
148976,48.0,-31.0,UNKNOWN
148970,9.07138889,-79.38333333,PROVINCIA DE PANAMÁ
148961,12.18888889,-68.95972222,UNKNOWN
148934,47.95,-45.38333333,UNKNOWN
148918,52.46805556,-54.63944444,UNKNOWN
148917,48.5,-40.0,UNKNOWN
148889,50.58847222,-8.49833333,UNKNOWN
148888,0.80666667,-176.6163889,UNKNOWN
148868,53.54805556,7.6675,NIEDERSACHSEN
148857,42.06208611,-0.51385556,ARAGÓN
148854,48.74583333,-132.1988889,UNKNOWN
148829,-30.26083333,-71.48388889,REGIÓN DE COQUIMBO
148763,53.0,-30.0,UNKNOWN
148758,19.75777778,-70.57,PUERTO PLATA
148757,21.03666667,-86.87694444,QUINTANA ROO
148747,51.15,-0.2,ENGLAND
148731,52.5,-34.0,UNKNOWN
148676,25.03888889,-77.46611111,UNKNOWN
148674,59.5,-43.00833333,UNKNOWN
148596,40.08,116.5844444,北京市
148551,25.29333333,-88.51833333,UNKNOWN
148540,50.0,-49.5,UNKNOWN
148536,46.25,-57.31666667,UNKNOWN
148523,35.76527778,140.3855556,UNKNOWN
148473,43.55666667,122.1997222,内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ
148423,52.70194444,-8.92472222,UNKNOWN
148394,48.0,-40.0,UNKNOWN
148387,50.03333333,8.57055556,HESSEN
148386,40.97611111,28.81388889,UNKNOWN
148385,53.54805556,7.6675,NIEDERSACHSEN
148369,47.65,-34.21666667,UNKNOWN
148365,62.4625,-58.50472222,UNKNOWN
148345,27.93194444,-152.5172222,UNKNOWN
148335,51.4775,-0.46138889,ENGLAND
148334,51.55222222,1.87138889,UNKNOWN
148330,20.68,-105.2541667,NAYARIT
148325,25.98916667,-111.3483333,BAJA CALIFORNIA SUR
148273,21.77388889,-72.26861111,UNKNOWN
148248,53.42138889,-6.27,UNKNOWN
148203,48.0,-50.0,UNKNOWN
148202,-90.0,0.00027778,UNKNOWN
148195,48.0,-50.0,UNKNOWN
148194,61.0,-45.0,UNKNOWN
148190,59.0,-46.5,UNKNOWN
148162,48.0,-50.0,UNKNOWN
148161,53.0,-41.11666667,UNKNOWN
148159,53.0,-15.0,UNKNOWN
148158,56.0,-34.0,UNKNOWN
148131,17.93555556,-76.7875,UNKNOWN
148110,60.0,-45.0,UNKNOWN
148082,19.75777778,-70.57,PUERTO PLATA
148061,41.80444444,12.25083333,LAZIO
148025,65.0,-50.0,UNKNOWN
147960,53.35222222,-6.48833333,UNKNOWN
147957,58.0,-50.0,UNKNOWN
147929,51.8,-54.53333333,UNKNOWN
147924,59.0,-40.0,UNKNOWN
147919,51.46666667,-0.45,ENGLAND
147918,54.1,-33.51666667,UNKNOWN
147911,13.93611111,-90.83583333,ESCUINTLA
147876,29.58222222,-14.01472222,UNKNOWN
147862,22.30888889,113.9147222,香港 HONG KONG
147857,11.41916667,-85.97833333,RIVAS
147825,-34.82222222,-58.53583333,BUENOS AIRES
147820,78.6,-141.3555556,UNKNOWN
147759,50.03333333,8.56666667,HESSEN
147744,57.0,-180.0,UNKNOWN
147689,48.0,-42.0,UNKNOWN
147688,45.28333333,-57.75,UNKNOWN
147677,53.88333333,-122.6833333,BRITISH COLUMBIA
147674,53.0,-30.0,UNKNOWN
147670,54.6575,-6.21583333,NORTHERN IRELAND / TUAISCEART ÉIREANN
147660,50.37024722,127.4375361,АМУРСКАЯ ОБЛАСТЬ
147655,52.41666667,-33.83333333,UNKNOWN
147519,53.42138889,-6.27,UNKNOWN
147497,28.56866667,77.11222222,DELHI
147303,62.0,-40.0,UNKNOWN
147291,18.50333333,-77.91333333,UNKNOWN
147290,62.0,-40.0,UNKNOWN
147172,56.0,-40.0,UNKNOWN
147035,61.0,-41.0,UNKNOWN
147026,21.0367,-86.8769,QUINTANA ROO
146997,23.15166667,-109.7208333,BAJA CALIFORNIA SUR
146979,19.29277778,-81.35777778,UNKNOWN
146966,44.88333333,-63.51666667,NOVA SCOTIA
146951,2.1,-105.4166667,UNKNOWN
146900,20.93125833,-105.2503889,NAYARIT
146529,-10.08155556,-75.11586111,PASCO
146424,53.0,-15.0,UNKNOWN
142347,18.53333333,-72.33333333,DÉPARTEMENT DE L'OUEST
139354,23.03444444,-81.43527778,MATANZAS
138579,19.08861111,72.86805556,MAHARASHTRA
128073,14.6349,-90.5069,DEPARTAMENTO DE GUATEMALA
121321,51.75,-44.7,UNKNOWN
158943,19.43638889,-99.07222222,UNKNOWN
158838,50.10083333,14.26,PRAHA
158824,50.0,-145.0,UNKNOWN
158760,38.78138889,-9.13583333,UNKNOWN
158661,50.88333333,-46.18333333,UNKNOWN
158326,4.70305556,-74.13833333,UNKNOWN
158235,50.95,-50.18333333,UNKNOWN
158223,20.68,-105.2541667,NAYARIT
158220,49.36666667,-42.08333333,UNKNOWN
158109,29.83506,-108.84514,SONORA
158016,48.0,-50.0,UNKNOWN
157961,21.03666667,-86.87694444,QUINTANA ROO
157931,-27.2303,153.1175,QUEENSLAND
157851,19.75777778,-70.57,PUERTO PLATA
157829,49.00972222,2.54777778,ÎLE-DE-FRANCE
157749,40.4675,50.04666667,UNKNOWN
157742,19.43638889,-99.07222222,UNKNOWN
157741,-12.02194444,-77.11444444,UNKNOWN
157629,14.58333333,-90.5275,DEPARTAMENTO DE GUATEMALA
157572,28.56866667,77.11222222,DELHI
157431,36.69444444,3.21694444,ALGER
157408,-23.43555556,-46.47305556,SÃO PAULO
157375,10.56416667,-71.72805556,ZULIA
157272,48.2082,16.3738,UNKNOWN
157236,-32.795,151.8344444,NEW SOUTH WALES
156928,53.31916667,-60.42583333,NEWFOUNDLAND AND LABRADOR
156894,19.43638889,-99.07222222,UNKNOWN
156802,42.02750278,34.85546389,UNKNOWN
156754,24.77282222,-86.33970556,UNKNOWN
156744,53.28333333,12.5,MECKLENBURG-VORPOMMERN
156560,23.03444444,-81.43527778,MATANZAS
156533,60.61666667,-44.78333333,UNKNOWN
156422,10.59305556,-85.54555556,UNKNOWN
156416,51.4775,-0.46138889,ENGLAND
156339,21.45712778,-87.30729167,UNKNOWN
156311,53.42138889,-6.27,UNKNOWN
156048,56.58333333,-38.8,UNKNOWN
155975,48.0,-50.0,UNKNOWN
155937,31.14333333,121.8052778,上海市
155912,56.5,-48.0,UNKNOWN
155893,39.55166667,2.73888889,ILLES BALEARS
155812,33.54888889,72.82555556,پنجاب
155791,19.43638889,-99.07222222,UNKNOWN
155768,28.56866667,77.11222222,DELHI
155766,58.0,-50.0,UNKNOWN
155672,64.0,-30.0,UNKNOWN
155618,19.75777778,-70.57,PUERTO PLATA
155537,17.90444444,-62.84361111,SAINT-BARTHÉLEMY
155473,52.83111111,-1.32777778,ENGLAND
155417,22.37944444,-73.01361111,UNKNOWN
155399,53.54805556,7.6675,NIEDERSACHSEN
155317,53.54805556,7.6675,NIEDERSACHSEN
155156,25.75841667,-77.22533889,UNKNOWN
154499,50.03333333,8.57055556,HESSEN
154362,48.0,-50.0,UNKNOWN
154280,53.54805556,7.6675,NIEDERSACHSEN
154127,46.96666667,-33.91666667,UNKNOWN
153980,-33.4489,-70.6693,REGIÓN METROPOLITANA DE SANTIAGO
153955,22.30888889,113.9147222,香港 HONG KONG
153935,49.9167,-49.6667,UNKNOWN
153819,18.04083333,-63.10888889,UNKNOWN
153655,27.44388889,-99.57055556,TAMAULIPAS
153622,23.15194444,-109.7211111,BAJA CALIFORNIA SUR
153609,10.59305556,-85.54555556,UNKNOWN
153579,49.1426,-48.1539,UNKNOWN
153502,52.70194444,-8.92472222,UNKNOWN
153490,53.42138889,-6.27,UNKNOWN
153457,25.68527778,-109.0451,SINALOA
153428,12.82944444,45.02888889,محافظة عدن
153417,41.80444444,12.25083333,LAZIO
153395,39.48944444,-0.48166667,COMUNITAT VALENCIANA
153274,37.25055556,27.66444444,UNKNOWN
153181,51.4775,-0.46138889,ENGLAND
153054,22.30888889,113.9147222,香港 HONG KONG
152846,62.0,-20.0,UNKNOWN
152791,39.55166667,2.73888889,ILLES BALEARS
152655,26.55861111,-78.69555556,UNKNOWN
152631,-28.11611111,117.8416667,WESTERN AUSTRALIA
152614,22.30888889,113.9147222,香港 HONG KONG
152559,18.5675,-68.36333333,LA ALTAGRACIA
152546,22.30888889,113.9147222,香港 HONG KONG
152545,51.4775,-0.46138889,ENGLAND
152479,21.37777778,-69.80027778,UNKNOWN
152466,26.63583889,-78.6909,UNKNOWN
152393,46.23805556,6.10888889,GENÈVE
152264,18.5675,-68.36333333,LA ALTAGRACIA
152241,21.910875,-81.48269167,ISLA DE LA JUVENTUD
152198,63.985,-22.60555556,UNKNOWN
152051,42.65,-142.0456,UNKNOWN
152024,53.54805556,7.6675,NIEDERSACHSEN
151881,58.93,-50.18944444,UNKNOWN
151871,49.73333333,-51.26666667,UNKNOWN
151746,-8.13190833,-79.04905,LA LIBERTAD
151707,44.82861111,-0.71527778,NOUVELLE-AQUITAINE
151554,52.16583333,20.96722222,WOJEWÓDZTWO MAZOWIECKIE
151416,59.66666667,-46.43333333,UNKNOWN
151333,51.4775,-0.46138889,ENGLAND
151327,51.14805556,-0.19027778,ENGLAND
151213,48.0,-50.0,UNKNOWN
151158,-32.795,151.8344444,NEW SOUTH WALES
151078,53.54805556,7.6675,NIEDERSACHSEN
151018,52.0,15.0,WOJEWÓDZTWO LUBUSKIE
150907,22.46111111,-78.32861111,CIEGO DE ÁVILA
150811,51.14805556,-0.19027778,ENGLAND
150785,52.92111111,54.74888889,ОРЕНБУРГСКАЯ ОБЛАСТЬ
150751,48.0,-15.0,UNKNOWN
150732,-23.43555556,-46.47305556,SÃO PAULO
150722,18.50361111,-77.91333333,UNKNOWN
150671,39.55166667,24.7,UNKNOWN
150634,22.49222222,-79.94361111,VILLA CLARA
150541,17.24010833,78.42941944,TELANGANA
150482,45.72555556,5.08111111,AUVERGNE-RHÔNE-ALPES
150390,53.54805556,7.6675,NIEDERSACHSEN
150379,35.3312,139.7811111,UNKNOWN
150317,53.42138889,-6.27,UNKNOWN
150299,43.0,-20.0,UNKNOWN
150205,51.15,-0.2,ENGLAND
150181,43.07222,-57.868,UNKNOWN
146558,6.91666667,79.88333333,WESTERN PROVINCE
146501,-4.56666667,-81.25,PIURA
146472,64.1355,-21.8954,UNKNOWN
146209,53.42138889,-6.27,UNKNOWN
145740,55.0,-30.0,UNKNOWN
145612,49.0,-50.0,UNKNOWN
145174,51.0,-50.0,UNKNOWN
145172,25.03333333,-77.45,UNKNOWN
145095,52.0,-50.0,UNKNOWN
144910,49.5,-44.5,UNKNOWN
144828,57.0,-20.0,UNKNOWN
144553,10.58333333,-61.33333333,TUNAPUNA-PIARCO
144532,48.11666667,-51.86666667,UNKNOWN
144428,54.8,-45.46666667,UNKNOWN
144336,50.0,-40.0,UNKNOWN
144281,45.71666667,4.93333333,AUVERGNE-RHÔNE-ALPES
144278,20.33333333,-70.33333333,UNKNOWN
144229,45.0,-40.0,UNKNOWN
144190,44.16666667,-54.88333333,UNKNOWN
144009,35.76527778,140.3855556,UNKNOWN
143794,56.11666667,-35.0,UNKNOWN
143775,53.95,-31.06666667,UNKNOWN
143659,50.03333333,8.56666667,HESSEN
143614,37.71666667,41.56666667,UNKNOWN
143414,51.46666667,-0.45,ENGLAND
143281,48.0,-50.0,UNKNOWN
143074,48.0,-50.0,UNKNOWN
142836,60.0,-47.0,UNKNOWN
142735,50.0,-50.0,UNKNOWN
142468,58.0,-50.0,UNKNOWN
142348,53.08333333,-54.08333333,UNKNOWN
142306,46.91666667,-51.0,UNKNOWN
142232,47.28333333,-34.31666667,UNKNOWN
142074,46.7,-48.0,UNKNOWN
141904,51.0,-50.0,UNKNOWN
141889,68.0,-40.0,UNKNOWN
141734,51.46666667,-0.45,ENGLAND
141542,34.46666667,-67.6,UNKNOWN
141216,59.1,-40.65,UNKNOWN
141207,40.0,-166.5,UNKNOWN
141203,28.0,-73.0,UNKNOWN
141154,7.08333333,-77.75,UNKNOWN
141112,51.46666667,-0.45,ENGLAND
141001,61.0,-58.0,UNKNOWN
140543,51.46666667,-0.45,ENGLAND
140376,19.4326,-99.1332,UNKNOWN
140065,49.0,-132.45,UNKNOWN
139894,19.4326,-99.1332,UNKNOWN
139586,50.0,-145.0,UNKNOWN
139425,48.93333333,-131.2166667,UNKNOWN
138666,48.35388889,11.78611111,BAYERN
138413,45.5,-33.0,UNKNOWN
138365,52.33333333,-42.5,UNKNOWN
137569,50.03333333,8.56666667,HESSEN
137144,54.0,-50.0,UNKNOWN
137111,25.03888889,-77.46611111,UNKNOWN
136939,40.4093,49.8671,UNKNOWN
136692,23.03444444,-81.43527778,MATANZAS
136369,24.05,-74.51666667,UNKNOWN
136348,38.2925,27.15694444,UNKNOWN
136032,36.96666667,-25.16666667,UNKNOWN
135942,48.0,-50.0,UNKNOWN
135608,46.0,-42.0,UNKNOWN
135312,-74.06666667,10.9,UNKNOWN
134422,50.03333333,8.56666667,HESSEN
134397,75.0,-95.0,ᓄᓇᕗᑦ NUNAVUT
134181,53.41666667,-6.26666667,UNKNOWN
133798,46.0,-41.0,UNKNOWN
133760,48.0,-50.0,UNKNOWN
133746,44.11666667,-52.81666667,UNKNOWN
133601,50.5,-52.06666667,UNKNOWN
133491,40.0,47.0,UNKNOWN
133303,58.0,-50.0,UNKNOWN
133110,34.42722222,135.2441667,UNKNOWN
133106,50.0,-40.0,UNKNOWN
133035,54.83333333,-59.5,NEWFOUNDLAND AND LABRADOR
132906,52.0,-35.0,UNKNOWN
132726,46.0,-51.0,UNKNOWN
131936,48.0,-50.0,UNKNOWN
131491,69.63333333,-65.78333333,UNKNOWN
130030,59.0,-40.0,UNKNOWN
129829,42.93333333,-51.0,UNKNOWN
129560,48.95,-130.8,UNKNOWN
129368,51.0,-41.0,UNKNOWN
129343,49.0,2.55,ÎLE-DE-FRANCE
129339,46.23805556,6.10888889,GENÈVE
129208,21.31666667,-157.9166667,HAWAII
129044,55.83333333,-51.0,UNKNOWN
128953,61.0,-40.0,UNKNOWN
128444,56.0,-40.0,UNKNOWN
128282,35.76527778,140.3855556,UNKNOWN
127860,17.13333333,-61.78333333,ANTIGUA
127722,55.0,-32.0,UNKNOWN
127045,51.46666667,-45.68333333,UNKNOWN
126484,-12.0464,-77.0428,LIMA
126301,42.13333333,-63.41666667,UNKNOWN
126279,-23.41666667,-46.46666667,SÃO PAULO
126222,50.0,-50.0,UNKNOWN
126152,55.86666667,-4.41666667,ALBA / SCOTLAND
125902,50.03333333,8.56666667,HESSEN
125783,55.33333333,-43.0,UNKNOWN
125758,-33.38333333,-70.78333333,REGIÓN METROPOLITANA DE SANTIAGO
125701,56.0,-33.0,UNKNOWN
125535,59.5,-45.0,UNKNOWN
125459,48.0,-50.0,UNKNOWN
125163,13.07472222,-59.4925,UNKNOWN
125100,61.0,-40.0,UNKNOWN
124635,32.36666667,-64.68333333,ST. GEORGE'S
124412,51.46666667,-0.45,ENGLAND
124152,49.00972222,2.54727778,ÎLE-DE-FRANCE
123965,50.03333333,8.56666667,HESSEN
123777,53.0,-43.75,UNKNOWN
123672,52.0,-38.0,UNKNOWN
123442,48.0,-50.0,UNKNOWN
123267,50.01666667,8.53333333,HESSEN
123159,19.43333333,-99.06666667,UNKNOWN
122992,59.0,-49.0,UNKNOWN
122917,4.7,-74.13333333,UNKNOWN
122867,50.0,-50.0,UNKNOWN
122782,21.03666667,-86.87694444,QUINTANA ROO
122759,51.46666667,-0.45,ENGLAND
122578,53.42138889,-6.27,UNKNOWN
122150,50.0,-145.0,UNKNOWN
121977,56.78333333,-33.0,UNKNOWN
121967,54.0,-50.0,UNKNOWN
121733,55.0,-40.0,UNKNOWN
121456,55.0,-45.0,UNKNOWN
121323,51.75,-44.4,UNKNOWN
121292,-10.0,-140.0,UNKNOWN
121087,52.7,-8.91666667,UNKNOWN
120706,23.41666667,-46.46666667,UNKNOWN
120684,38.71666667,-9.13333333,UNKNOWN
120542,60.53333333,-28.41666667,UNKNOWN
120360,47.0,-51.0,UNKNOWN
120351,53.35,-2.26666667,ENGLAND
120190,35.76666667,140.3833333,UNKNOWN
120074,60.41666667,-53.45,UNKNOWN
119922,46.66666667,-42.5,UNKNOWN
119845,55.0,-47.0,UNKNOWN
119764,-0.0,-47.0,UNKNOWN
119292,46.0,-30.0,UNKNOWN
119183,48.0,-38.16666667,UNKNOWN
119127,48.0,-45.0,UNKNOWN
118442,25.03888889,-77.46611111,UNKNOWN
118391,50.0,-30.0,UNKNOWN
117366,21.03666667,-86.87694444,QUINTANA ROO
116424,51.46666667,-0.45,ENGLAND
116099,0.9,-40.0,UNKNOWN
115894,25.03333333,-77.46666667,UNKNOWN
